sense ID	lemma	variant	POS	comment
3612	mówić na ucho	1	1	brak danych <##nDD> <##VLC: CZ, ST, ZD>
619160	przetwór mleczny	1	2	##K: og. ##D: produkt wytwarzany z mleka. <##nDD>
3706	nadawać imię	1	1	brak danych <##nDD> <##VLC: CZ>
3727	nadstawić głowy	1	1	##K: pot. ##D: zaryzykować przyjęciem na siebie przykrych konsekwencji, które, w innym przypadku, spadłyby na kogoś innego. [##Z: Jestem mu wdzięczna, bo nadstawił głowy, kiedy to mnie szef chciał wylać z pracy.] <##nDD> <##VLC: AK>
3782	nakrycie głowy	1	2	##K: og. ##D: element garderoby, który nosi się na głowie, który przykrywa głowę.<##nDD>
3785	nakład sił	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
3787	nakładać obowiązek	1	1	brak danych <##nDD> <##VLC: DZn>
3819	napędzić stracha	1	1	brak danych <##nDD> <##VLC: WY>
3914	nauczyciel matematyki	1	2	##K: og. ##D: matematyk - osoba, która uczy w szkole matematyki. [##W: Po ukończeniu studiów wrócił do Albanii i został nauczycielem matematyki w szkole w Durres.] {##L: } <##nDD>
3915	nauczyciel muzyki	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
3921	nauka o materii	1	2	##K:  ##D: . [##P: ] <##nDD>
3922	nauka o roślinach	1	2	##K: og. {##L: http://pl.wikipedia.org/wiki/Botanika} <##nDD>
3923	nauka o zdrowiu	1	2	##K:  ##D: . [##P: ] <##nDD>
3924	nauka o zdrowiu zwierząt	1	2	##K: specj.  ##D: wiedza, praktyka i teoria dotycząca zachowania zdrowia u zwierząt i ich leczenia. [##P: Nauka o zdrowiu zwierząt nie była mu obca, choć leczył ludzi] <##nDD>
3951	nałożyć obowiązek	1	1	brak danych <##nDD> <##VLC: DZd>
3983	nie móc spojrzeć w oczy	1	1	brak danych <##nDD> <##VLC: ST>
4000	nie śmieć spojrzeć w oczy	1	1	brak danych <##nDD> <##VLC: ST>
4256	nieść pomoc	1	1	brak danych <##nDD> <##VLC: CZ>
4484	nosić w pamięci	1	1	brak danych <##nDD> <##VLC: ST>
4560	obce terytorium	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
4575	obdarzać uczuciem	1	1	##K: og. ##D: żywić do kogoś uczucie miłości. [##P: Na twoim miejscu zastanowiłabym się, czy ten chłopak naprawdę obdarza cię uczuciem, czy po prostu chce cię zaciągnąć do łóżka.] <##nDD> <##VLC: ST>
4600	obiekt sportowy	1	2	##K: og. ##D: samodzielny, zwarty zespół urządzeń terenowych oraz budynków przeznaczonych do celów sportowych. {##L: http://pl.wikipedia.org/wiki/Obiekt_sportowy} <##s> <##nDD> 
4608	objąć umysłem	1	1	zrozumieć <##nDD> <##VLC: WY>
144017	element anatomiczny	1	2	element części ciała <##s> <##nDD>
4975	ogarnąć umysłem	1	1	brak danych <##nDD> <##VLC: WY>
5239	osocze krwi	1	2	##K: specj. ##D: zasadniczy płynny składnik krwi, w którym są zawieszone elementy morfotyczne (komórkowe); stanowi ok. 55% objętości krwi. {##L: http://pl.wikipedia.org/wiki/Osocze_krwi} <##nDD>
5516	pełnić rolę	1	1	brak danych <##nDD> <##VLC: ST>
5569	piętnaście minut	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
380531	konik na biegunach	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
5608	plac gry	1	2	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>
5648	pobierać nauki	1	1	brak danych <##nDD> <##VLC: DZn>
5700	poczucie własnej godności	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
5706	podać się do dymisji	1	1	brak danych <##nDD> <##VLC: AK>
5723	podawać się do dymisji	1	1	brak danych <##nDD> <##VLC: CZ>
5731	poddać próbie	1	1	np. próbie <##nDD> <##VLC: AK>
5862	pogoda ducha	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD> ##A1: {radość; szczęście} + s [Cechowały ją optymizm i pogoda ducha.] ##A2: {radość; szczęście} + s [Życzę ci pogody ducha i nigdy nieschodzącego z twarzy uśmiechu.]
5883	wziąć za żonę	1	1	brak danych <##nDD> <##VLC: AK, DZd>
5935	pole bitwy	1	2	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>
5977	pomoc domowa	1	2	##K: og. ##D: osoba (zwykle kobieta) zatrudniona do pomocy w domu, zwykle do sprzątania i prac kuchennych. [##P: Od kiedy zatrudniliśmy pomoc domową, w domu jest dużo czyściej.] <##nDD>
6000	ponieść odpowiedzialność	1	1	brak danych <##nDD> <##VLC: WY>
6001	ponieść porażkę	1	1	brak danych <##nDD> <##VLC: WY>
6002	ponieść śmierć	1	1	brak danych <##nDD> <##VLC: PRd>
6004	ponosić odpowiedzialność	1	1	<##nDD> <##VLC: ST>
6005	ponosić porażkę	1	1	brak danych <##nDD> <##VLC: ST>
6023	poprosić o rękę	1	1	brak danych <##nDD> <##VLC: DZd>
6155	posyłać uśmiech	1	1	brak danych <##nDD> <##VLC: CZ>
6167	posłać uśmiech	1	1	brak danych <##VLC: AK> <##nDD>
6202	potrzeba picia	1	2	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>
6233	powetować sobie	1	1	brak danych <##nDD> <##VLC: AK>
6243	powiedzieć na ucho	1	1	brak danych <##nDD> <##VLC: AK>
6329	pożegnać się z życiem	1	1	brak danych <##nDD> <##VLC: PRd>
6411	praca pisemna	1	2	##K: og. ##D: praca szkolna w formie pisemnej. [##P: Pani od polskiego mówiła, że przy wystawianiu stopni będzie brała pod uwagę oceny z prac pisemnych i z aktywności.] <##nDD> 
143819	dekoracja okna	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
6743	przekroczyć próg	1	1	##K: książk. ##D: wejść, najczęściej do domu, miejsca, w którym ktoś mieszka. [##P: Nie waż się więcej przekroczyć progu mojego namiotu!] <##nDD> <##VLC: AK>
6772	przemówić do rozsądku	1	1	brak danych <##nDD> <##VLC: DZd>
6773	przemówić do rozumu	1	1	brak danych <##nDD> <##VLC: DZd>
6788	przenieść się do wieczności	1	1	brak danych <##nDD> <##VLC: PRd>
6791	przeniesienie praw	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD> ##A1: 0 ##A2: 0
6908	przewód wentylacyjny	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
7043	przypadać do gustu	1	1	##K: książk. ##D: sprawiać, że ktoś coś zaczyna lubić, zaczynać się podobać. [##P: Mieliśmy opory przed spróbowaniem kuchni indyjskiej, ale zaczyna nam przypadać do gustu.] <##nDD> <##VLC: ZD>
7050	przypaść do gustu	1	1	##K: og. ##D: spodobać się, spowodować, że ktoś coś polubi. [##P: Marek i Aśka jakoś tak przypadli sobie do gustu, chociaż nikt ze znajomych nie wróżył im długiego związku.] <##nDD> <##VLC: WY>
7078	przyspieszyć kroku	1	1	brak danych <##nDD> <##VLC: DZd>
611355	ryba morska	1	2	##K: og. ##D: ryba żyjąca w morzu. [##W: Popularne, szczególnie w okresie postów, były ryby morskie (zwłaszcza konserwowane i transportowane na spore odległości dorsze i śledzie) i słodkowodne.] <##nDD> 
7324	rejon walk	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
7443	ronić łzy	1	1	##K: książk. ##D: reagować na coś płaczem, najczęściej pod wpływem bólu lub silnych emocji. [##Ko: ronić rzewne łzy] [##Sienkiewicz: Widzę, jak piękne czytelniczki poczynają łzy ronić nad moim bohaterem, a zatém, nim która z nich zemdleje pośpieszam dodać, że jednak bohatér nie umarł z téj rany.] <##nDD> <##VLC: CZ>
143699	obiekt astronomiczny	1	2	##K: og. ##D: każdy występujący w przestrzeni kosmicznej naturalny obiekt fizyczny lub układ powiązanych ze sobą obiektów albo ich struktur. <##nDD>
7596	rozstać się z życiem	1	1	brak danych <##nDD> <##VLC: PRd>
7933	sięgać korzeniami	1	1	brak danych <##nDD> <##VLC: ZD>
7977	skarbnica wiedzy	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
8058	składać pocałunek	1	1	##K: og. ##D: całować kogoś lub coś. [##P: Córki zmarłego podchodzą po kolei do trumny i składają pocałunek na jego ręce.] <##nDD> <##VLC: CZ>
8138	snuć wspomnienia	1	1	wspomnienia <##nDD> <##VLC: CZ>
8168	spadek napięcia	1	2	##K: og. ##D: obniżenie napięcia nerwowego. [##P: ] {##L: } <##s> <##nDD>
8179	specjalista od public relations	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
##A1: 0 ##A2: 0
8250	sposób rozumowania	1	2	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>
143432	zrobienie roszady	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
8354	środek przekazu	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
8367	stać po stronie	1	1	##K: og. ##D: popierać kogoś. [##Ko: stać po czyjejś stronie] [##W: Bitwa stoczona została w pobliżu Bradford. Hrabia Newcastle, wódz armii Rojalistów maszerował do Bradford (który stał po stronie Parlamentu) z armią liczącą 10 000 żołnierzy.] [##W:  W sporze o władzę w Niemczech toczonym wówczas między Hohenstaufami i Welfami Albrecht stał po stronie Filipa Szwabskiego, ale po jego śmierci w 1208 r. przeszedł na stronę Ottona IV i stał u jego boku aż do momentu, gdy sprawa Welfów była już całkiem przegrana (1217).] <##nDD> <##VLC: CZ>
8386	stan posiadania	1	2	##K: og. ##D: ogół rzeczy i środków, które ktoś (człowiek lub instytucja) posiada. [##P: Dzięki hossie giełdowej spółka zwiększyła swój stan posiadania.] <##nDD>
8440	stawiać wniosek	1	1	np. warunki <##nDD> <##VLC: CZ, ZD>
8488	stracić życie	1	1	brak danych <##nDD> <##VLC: PRd>
8550	stwarzać pozory	1	1	brak danych <##nDD> <##VLC: CZ>
8576	substancja jadalna	1	2	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>
8823	sztuka leczenia	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
9036	tracić życie	1	1	brak danych <##nDD> <##VLC: ZD>
9134	trzymać stronę	1	1	##K: og. ##D: popierać kogoś. [##Ko: trzymać czyjąś stronę] [##W: Po pojedynku bóg obdarł sylena ze skóry, zaopatrzył Midasa, który trzymał stronę sylena, w ośle uszy.] [##W: Mając w pamięci osąd Parysa, pomimo palladionu w wojnie trojańskiej Ateny trzymała stronę Greków.] <##nDD> <##VLC: CZ>
68300	lista obecności	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
9261	uczynić coś złego	1	1	brak danych <##nDD> <##VLC: AK>
9292	udzielać wypowiedzi	1	1	brak danych <##nDD> <##VLC: CZ>
9294	udzielić wypowiedzi	1	1	brak danych <##nDD> <##VLC: AK>
9344	układ ciała	1	2	##K: og. ##D: ułożenie, w jakim znajduje się ciało. [##W: Według Jana Białostockiego Daumier nawiązał układem ciała martwego robotnika do typu ikonograficznego wykorzystanego przez Rubensa w obrazie Opłakiwanie.] <##nDD>
9427	upaść na duchu	1	1	brak danych <##nDD> <##VLC: WY>
78477	wstępować w związek małżeński	1	1	##K: urz. ##D: brać ślub. [##W: Wdowcy i wdowy za zgodą wielkiego mistrza lub przełożonego klasztoru mogli ponownie wstępować w związek małżeński.] <##nDD> <##VLC: DZn>
9938	wisieć nad głową	1	1	brak danych <##nDD> <##VLC: ST>
10022	wpaść na pomysł	1	1	<##nDD> <##VLC: AK>
10158	wtrącić swoje trzy grosze	1	1	brak danych <##nDD> <##VLC: AK>
10202	wyciągać konsekwencje	1	1	brak danych <##nDD> <##VLC: CZ>
10203	wyciągać rękę	1	1	sięgać po coś <##nDD> <##VLC: DZn>
10205	wyciągnąć konsekwencje	1	1	brak danych <##nDD> <##VLC: AK>
10206	wyciągnąć rękę	1	1	sięgnąć po coś <##nDD> <##VLC: DZd>
10250	wydobyć z niepamięci	1	1	brak danych <##nDD> <##VLC: DZd>
10251	wydobyć z zapomnienia	1	1	brak danych <##nDD> <##VLC: DZd>
10253	wydobywać z niepamięci	1	1	brak danych <##nDD> <##VLC: CZ>
10254	wydobywać z zapomnienia	1	1	brak danych <##nDD> <##VLC: CZ>
10362	wylewać łzy	1	1	##K: książk. ##D: reagować na coś płaczem, najczęściej pod wpływem bólu lub silnych emocji. [##P: Dziewczynka wylewała rzewne łzy zawsze, gdy widziała czyjąś krzywdę.] <##nDD> <##VLC: CZ>
10382	wymierzyć sprawiedliwość	1	1	brak danych <##nDD> <##VLC: AK>
10405	wynik badania	1	2	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>
10469	wyprowadzić z równowagi	1	1	brak danych <##nDD> <##VLC: WY>
10528	wyrządzić krzywdę	1	1	brak danych <##nDD> <##VLC: AK>
10577	wysuwać wniosek	1	1	np. wniosek, postulat, żądanie <##nDD> <##VLC: CZ, ZD>
10593	wytracać prędkość	1	1	brak danych <##nDD> <##VLC: DZn>
10595	wytracić prędkość	1	1	brak danych <##nDD> <##VLC: DZd>
10633	wywołać z pamięci	1	1	brak danych <##nDD> <##VLC: DZd>
10636	wywoływać z pamięci	1	1	brak danych <##nDD> <##VLC: CZ>
10734	władza ludu	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
10822	zachować w pamięci	1	1	brak danych <##nDD> <##VLC: DZd>
10834	zaciągnąć dług	1	1	brak danych <##nDD> <##VLC: AK, WY>
10835	zaciągnąć pożyczkę	1	1	brak danych <##nDD> <##VLC: AK, WY>
10863	zadać cios	2	1	uderzyć <##nDD> <##VLC: AK>
10887	żądza sukcesu	1	2	##K: og. ##D: intensywna chęć osiągnięcia powodzenia, bez względu na koszty i warunki. [##P: Żądza sukcesu sprawiła, że zerwał wszelkie relacje, skłócił się z rodziną i myślał tylko o awansie.] {##L: } <##nDD>
##A1: {radość, smutek, złość; użyteczność, krzywda, błąd} amb [Dzięki wielkiej żądzy sukcesu udało mi się wygrać.] [Przez żądzę sukcesu zostawił rodzinę.] ##A2: {radość, smutek, złość; użyteczność, krzywda, błąd} amb [Gdyby nie jego żądza sukcesu, nie zdołałby tak ciężko pracować.] [Żądza sukcesu zaślepiła go i znieczuliła na krzywdę innych.]
10942	zająć miejsce	2	1	##K: og. ##D: zastąpić kogoś na jakiś stanowisku, przejąć czyjeś funkcje. [##Ko: zająć czyjeś miejsce] [##P: Papież Franciszek zajął miejsce Benedykta na Piotrowym Tronie.] <##nDD> <##VLC: WY>
10944	zająć stanowisko	1	1	brak danych <##nDD> <##VLC: AK>
10950	zajmować miejsce	2	1	##K: og. ##D: zastępować kogoś na jakiś stanowisku, przejmować czyjeś funkcje. [##Ko: zajmować czyjeś miejsce] [##P: Pani Anders zajmuje miejsce Bartoszewskiego w Radzie Ochrony Pamięci Walki i Męczeństwa.] <##nDD> <##VLC: ZD>
10972	zakończyć życie	1	1	brak danych <##nDD> <##VLC: PRd>
11070	zanosić modły	1	1	brak danych <##nDD> <##VLC: CZ, ZD>
11113	zapisać w pamięci	1	1	brak danych <##nDD> <##VLC: DZd>
11155	zapuścić oko	1	1	brak danych <##nDD> <##VLC: AK>
11156	zapuścić spojrzenie	1	1	brak danych <##nDD> <##VLC: AK>
11157	zapuścić wzrok	1	1	brak danych <##nDD> <##VLC: AK>
11159	zapuszczać oko	1	1	brak danych <##nDD> <##VLC: CZ>
11160	zapuszczać spojrzenie	1	1	brak danych <##nDD> <##VLC: CZ>
11161	zapuszczać wzrok	1	1	brak danych <##nDD> <##VLC: CZ>
11220	zasięgać opinii	1	1	rady, opinii <##nDD> <##VLC: CZ, ZD>
11221	zasięgnąć rady	1	1	brak danych <##nDD> <##VLC: AK, WY>
11392	zbieg okoliczności	1	2	##K: og. ##D: przypadek, nieoczekiwany, zaskakujący splot faktów lub wydarzeń. [##P: Nasze spotkanie w centrum handlowym było zbiegiem okoliczności - wcześniej bezskutecznie próbowaliśmy się umówić.] <##nDD>
11403	zbiór praw	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
11404	zbiór przepisów	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
11432	zdawać relację	1	1	egzamin:relację <##nDD> <##VLC: CZ>
11521	zespół wokalny	1	2	##K: og. ##D: grupa osób wspólnie wykonujących muzykę z wykorzystaniem głosów. [##W: W konkursie biorą udział chóry amatorskie i zespoły wokalne w jednej z dwu kategorii: chórów kościelnych lub chórów świeckich.] {##L: } <##s> <##nDD>
11618	zjawisko naturalne	1	2	##K: og. ##D: zdarzenie, które nie jest efektem działalności człowieka, lecz przyrody. {##L: http://pl.wikipedia.org/wiki/Zjawisko_naturalne} <##nDD> 
11707	znak dodawania	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
11788	zrządzenie losu	1	2	##K: og. ##D: niespodziewane zdarzenie, którego nie dało się przewidzieć. [##P: Spotkanie ciebie było niezwykłym zrządzeniem losu, to zmieniło całe moje dotychczasowe życie.] <##nDD>
##A1: {radość, smutek, zaskoczenie; szczęście, nieszczęście} amb [Jakieś zrządzenie losu sprawiło, że nagle pojawił się jakiś człowiek, który od razu udzielił mi pomocy.] [Okropnym zrządzeniem losu nie udało nam się zdążyć na pociąg, a następny mamy dopiero jutro.] ##A2: {radość, zaskoczenie, smutek; szczęście, nieszczęście, krzywda} amb [To naprawdę szczęśliwe zrządzenie losu, że udało nam się pojechać na tę wycieczkę, bo dzięki temu przeżyliśmy najlepsze wakacje naszego życia.] [Dziwnym zrządzeniem losu zaginęły wszystkie moje dokumenty.]
11859	zwrócić się z prośbą	1	1	z prośbą <##nDD> <##VLC: AK, WY>
11900	żywić wiarę	1	1	nadzieję <##nDD> <##VLC: ST>
12009	łowić uchem	1	1	uchem <##nDD> <##VLC: ST>
17066	niezgodność z prawdą	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12140	stan psychiczny	1	2	##K: specj. ##D: stan, w jakim znajduje się ktoś lub coś pod względem psychicznym, stan emocjonalny. [##P: ] {##L: } <##nDD> 
12258	placówka służby zdrowia	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12287	lokal usługowy	1	2	##K: og. ##D: samodzielny lokal wykorzystywany do świadczenia usług handlowych na rzecz klienta. [##P: ] {##L: } <##nDD>
12451	zmiana położenia	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12522	kondycja fizyczna	1	2	##K: og. ##D: aktualny stan fizjologiczny organizmu podlegający zmianom pod wpływem czynników środowiska zewnętrznego. [##P: Musimy popracować nad naszą kondycją fizyczną.] <##nDD>
12541	zanieczyszczenie środowiska	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12546	życie z dnia na dzień	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12563	więzy krwi	1	2	##K: og. ##D: związek oparty o pokrewieństwo. [##W: Krajem rządzi król Esterad Thyssen, noszący tytuł króla Koviru, Poviss, Naroku, Velhadu i Talgaru z dynastii Thyssenidów, powiązanej więzami krwi z dynastiami z Kaedwen, Redanii, Aedirn, Cidaris, Rivii i Verden. Loża Czarodziejek planowała mariaż Ciri, księżniczki Cintry z kovirskiem księciem Tankredem, a na Południu słychać było o planach tworzenia związków dynastycznych Koviru i Caingorn.] {##L: } <##nDD>
12656	zakład usługowy	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD> 
12667	punkt skupu	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12668	skup złomu	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12669	skup makulatury	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12679	oczyszczalnia gazów	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12705	zjawisko atmosferyczne	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12712	zjawisko akustyczne	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12713	zjawisko astronomiczne	1	2	##K: og. ##D: zdarzenie zachodzące w przestrzeni kosmicznej. {##L: http://pl.wikipedia.org/wiki/Zjawisko_astronomiczne} <##nDD>
12732	stosunki czasowe	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD> 
12748	przystanek autobusowy	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD> ##A1: 0
12756	giełda samochodowa	1	2	##K: og. ##D: rodzaj targu, na którym sprzedaje się samochody i części do nich. <##nDD>
12757	giełda papierów wartościowych	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12774	hala maszyn	1	2	##K: og. ##D: budynek lub pomieszczenie wyspecjalizowane do przechowywania w nim i korzystania z maszyn (różnego rodzaju, zarówno typowo mechanicznych, jak i np. komputerów). [##P: ] {##L: } <##nDD>
12779	kopalnia węgla kamiennego	1	2	##K: specj. ##D: rodzaj kopalni, w której wydobywa się węgiel kamienny z pokładów położonych pod ziemią metodą odkrywkową lub głębinową. [##W: Kopalnia węgla kamiennego jest zazwyczaj dużym zakładem, zatrudniającym od kilkuset do kilku tysięcy osób, zdolnym do wydobywania, obróbki i przygotowania węgla do transportu.] {##L: https://pl.wikipedia.org/wiki/Kopalnia_w%C4%99gla_kamiennego} <##nDD>
12780	kopalnia węgla brunatnego	1	2	##K: specj. ##D: przedsiębiorstwo górnicze - przeważnie kopalnia odkrywkowa - zajmujące się wydobywaniem kopalin węgla brunatnego. [##W: W 2012 roku Polska była drugim krajem w Europie pod względem wydobycia węgla brunatnego, 64,2 mln ton stanowiło 15% europejskiego wydobycia.] {##L: https://pl.wikipedia.org/wiki/Kopalnia_w%C4%99gla_brunatnego} <##nDD>
12781	cecha fizyczna	1	2	##K: og. ##D: cecha obiektów fizycznych. <##nDD>
12871	naturalny zbiornik wodny	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
12881	tlenek wodoru	1	2	##K: książk. ##D: woda. [##P: ] {##L: http://pl.wikipedia.org/wiki/Woda} <##nDD>
18728	tracić panowanie nad sobą	1	1	brak danych <##nDD> <##VLC: CZ>
18729	tracić nerwy	1	1	brak danych <##nDD> <##VLC: CZ, ST>
16297	choroba ducha	1	2	##K: og. ##D: negatywne emocje towarzyszące komuś przez dłuższy czas. [##P: W szkole średniej nieustannie zmagałem się z chorobą ducha.] <##nDD> ##A1: {smutek; nieszczęście} - s [Tę piękną, ale nieszczęśliwą kobietę dręczyła choroba ducha.]
16305	poczucie niższości	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
18721	wziąć do serca	1	1	brak danych <##nDD> <##VLC: AK>
18722	wziąć do siebie	1	1	brak danych <##nDD> <##VLC: AK>
17098	imię i nazwisko	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
16687	projektant mody	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
17042	znak odejmowania	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
17031	utwór instrumentalny	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
17023	utwór literacki	1	2	##K: og. ##D: artystyczny wytwór słowa pisanego. [##WN: NASA odebrała ponad 200 zgłoszeń z całego świata, w wielu kategoriach, jak film, grafiki 2D, grafiki 3D, grafiki cyfrowe, utwór muzyczny, czy utwór literacki (w tym roku dopuszczono tu poezję i nowele).] {##L: http://pl.wikipedia.org/wiki/Utw%C3%B3r_literacki} <##nDD>
17007	ryba drapieżna	1	2	##K: og. ##D: zwierzę kręgowe żyjące w wodzie, oddychające skrzelami i poruszające się za pomocą płetw, żywiące się mięsem innych zwierząt. [##W: Jesiotr adriatycki jest rybą drapieżną, żywi się przydennymi bezkręgowcami i małymi rybami.] [##W: Metoda spinningowa polega przede wszystkim na wędkowaniu bardzo aktywnym - oznacza to, że to wędkarz szuka ryby, prawie zawsze drapieżnej, a nie czeka, aż ona, wędrując za pokarmem, napłynie na stanowisko łowiącego.] <##nDD>
16463	jądro komórkowe	1	2	##K: specj. ##D: otoczone błoną organellum obecne we wszystkich komórkach eukariotycznych. [##P: ] {##L: http://pl.wikipedia.org/wiki/J%C4%85dro_kom%C3%B3rkowe} <##nDD>
16935	miłość do ojczyzny	1	2	##K: książk.  <##s> {##L: } <##nDD> ##A1: {zaufanie; dobro, szczęście} + m [Pozostał w kraju ze względu na miłość do ojczyzny.] ##A2: {radość, zaufanie; dobro, szczęście} + m [Walcz i giń w imię miłości do ojczyzny, żołnierzu.]  
