orth	code	typ MWE (wszystko OK = poprawna grupa składniowa niebędąca ani nazwą własną, ani deskrypcją określoną)	intuicyjnie termin?	intuicyjnie MWLU? (wg testu Słowosieci)	komentarz	wyraz uwięziony / znaczenie uwięzione	termin (wg procedury Słowosieci)	parafraza (wg procedury Słowosieci)	decyzja (wg procedury Słowosieci i kolumn D, E, F)	czy typ strukturalny N+Adj
bruździe podpiersiowej	1.0	wszystko OK	TAK	RACZEJ TAK						
bryzgun brzozowiec	1.0	wszystko OK	TAK	TAK						
bufetu szwedzkiego	1.0	wszystko OK	NIE	TAK						
całomeczowa słoniowatość	1.0	wszystko OK	NIE	NIE						
celebrze pontyfikalnej	1.0	wszystko OK	NIE	NIE						
centrali alarmowej	[0. 1.]	wszystko OK	NIE	NIE						
centrum handlowym	0.0	wszystko OK	NIE	TAK						
chili con	[0. 1.]	urwana fraza								
chlamydia pneumonie	[0. 1.]	błąd - niepolska zbitka wyrazów			chlamydia pneumoniae					
choina mertensa	[0. 1.]	błąd - literówka			choina martensa					
chrząstek nasadowych	[0. 1.]	wszystko OK	TAK	TAK						
ciąży bliźniaczej	1.0	wszystko OK	TAK	RACZEJ TAK						
ciężarne samice	[0. 1.]	wszystko OK	NIE	NIE						
czarnosecinna sotnia	1.0	wszystko OK	NIE	NIE						
czarownicę neopogańską	[0. 1.]	wszystko OK	NIE	NIE						
czerw trutowy	1.0	wszystko OK	TAK	TAK						
części roślin	0.0	wszystko OK	NIE	NIE						
członków honorowych	1.0	wszystko OK	NIE	NIE						
danym lokalu	0.0	wszystko OK	NIE	NIE						
darmowego oprogramowania	0.0	wszystko OK	NIE	NIE						
dekrement logarytmiczny	1.0	wszystko OK	NIE	NIE	logarytmiczny dekrement tłumienia					
depozytu sadowego	1.0	wszystko OK	TAK	TAK						
destylacji frakcyjnej	[0. 1.]	wszystko OK	TAK	TAK						
diabła tasmańskiego	1.0	wszystko OK	TAK	TAK						
diasporze żydowskiej	[0. 1.]	wszystko OK	NIE	RACZEJ TAK	każda diaspora jest zydowska, więc określenie to ma charakter pleonazmu, ale! funkcjonuje.					
dieta eliminacyjna	1.0	wszystko OK	NIE	RACZEJ NIE						
dieta śródziemnomorska	1.0	wszystko OK	NIE	RACZEJ NIE						
dnia 14	[0. 1.]	błąd - niegramatyczna fraza								
dnia uprawomocnienia	0.0	wszystko OK	NIE	NIE						
dog niemiecki	1.0	wszystko OK	TAK	TAK						
dokładny termin	0.0	wszystko OK	NIE	NIE						
donoszenie ciąży	[0. 1.]	wszystko OK	NIE	NIE						
dorosłe osoby	0.0	wszystko OK	NIE	NIE						
dotacji unijnych	0.0	wszystko OK	NIE	NIE						
dowolnym kolorze	0.0	wszystko OK	NIE	NIE						
dożywotnią gwarancją	0.0	wszystko OK	NIE	NIE						
drugie życzenie	0.0	wszystko OK	NIE	NIE						
drugiej ciąży	1.0	wszystko OK	NIE	NIE						
dwukrotnym kliknięciu	1.0	wszystko OK	NIE	NIE						
dwupłatowych myśliwcach	[0. 1.]	wszystko OK	NIE	NIE						
dwuskokowym ościeżu	1.0	wszystko OK	NIE	NIE						
dwuuskokowym ościeżu	1.0	błąd - literówka								
dychawicy oskrzelowej	1.0	wszystko OK	TAK	TAK						
dzienną kapitalizacją	1.0	wszystko OK	NIE	NIE						
edylowie kurulni	[0. 1.]	wszystko OK	TAK	TAK						
ekstruzji dwuślimakowej	1.0	wszystko OK	NIE	NIE						
elektroforezy kapilarnej	1.0	wszystko OK	TAK	TAK						
elementów wyposażenia	0.0	wszystko OK	NIE	NIE						
emulsją asfaltową	[0. 1.]	wszystko OK	NIE	NIE						
endometriozy śródmacicznej	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
europejskiej trasy	0.0	wszystko OK	NIE	NIE						
faktur zaliczkowych	[0. 1.]	wszystko OK	NIE	TAK						
fej zbuk	0.0	błąd - niegramatyczna fraza								
fermentacji beztlenowej	1.0	wszystko OK	TAK	TAK						
field field	1.0	błąd - niepolska zbitka wyrazów								
finalistka konkursu	0.0	wszystko OK	NIE	NIE						
firmę jednoosobową	0.0	wszystko OK	NIE	NIE						
fizjonomicznej lordozy	[0. 1.]	wszystko OK	NIE	NIE						
fluidu elektromagnetycznego	[0. 1.]	wszystko OK	NIE	NIE						
fluktuacje kwantowe	1.0	wszystko OK	TAK	RACZEJ TAK						
fluorku cynawego	[0. 1.]	wszystko OK	TAK	TAK						
frazeologii prorustykalnej	1.0	wszystko OK	NIE	RACZEJ NIE						
fryzem arkadkowym	1.0	wszystko OK	TAK	RACZEJ TAK						
fug epoksydowych	1.0	wszystko OK	TAK	RACZEJ TAK						
fundamentalizm islamski	0.0	wszystko OK	NIE	NIE						
funduszem kapitałowym	1.0	wszystko OK	TAK	TAK						
funduszy emerytalnych	0.0	wszystko OK	TAK	RACZEJ TAK						
funduszy poręczeniowych	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
gazowe.bron hukowa	1.0	błąd - niegramatyczna fraza								
genu odpowiedzialnego	0.0	wszystko OK	NIE	NIE						
geometrii euklidesowej	1.0	wszystko OK	TAK	TAK						
geometrii fraktalnej	1.0	wszystko OK	TAK	RACZEJ TAK						
geometrii nieeuklidesowej	1.0	wszystko OK	TAK	TAK						
geomorfologii glacjalnej	1.0	wszystko OK	NIE	RACZEJ NIE						
głębokość bieżnika	[0. 1.]	wszystko OK	NIE	NIE						
głębokość zanurzenia	1.0	wszystko OK	NIE	NIE						
gniadą fornalską	1.0	wszystko OK	NIE	RACZEJ NIE						
gnozie walentyńskiej	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
godzinie 15	1.0	błąd - niewłaściwie rozpoznany typ strukturalny	NIE	NIE						
godzinie dziewiątej	[0. 1.]	wszystko OK	NIE	NIE						
gonadotropin przysadkowych	1.0	wszystko OK	TAK	TAK						
goryczka wąskolistna	[0. 1.]	wszystko OK	TAK	TAK						
gospodarstw chłopskich	0.0	wszystko OK	NIE	NIE						
gospodarzem turnieju	0.0	wszystko OK	NIE	NIE						
górnej powiece	[0. 1.]	wszystko OK	NIE	NIE						
granulacji fotosferycznej	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
greckiej bogini	0.0	wszystko OK	NIE	NIE						
grobelce ekwipaż	[0. 1.]	urwana fraza								
grobowca cesarza	[0. 1.]	wszystko OK	NIE	NIE						
grube mury	0.0	wszystko OK	NIE	NIE						
gruczolaka przysadki	1.0	wszystko OK	TAK	TAK						
gruczołu krokowego	1.0	wszystko OK	TAK	TAK						
gry edukacyjne	0.0	wszystko OK	NIE	NIE						
guza przysadki	1.0	wszystko OK	TAK	RACZEJ TAK						
helskim fokarium	0.0	wszystko OK	NIE	NIE						
herezja nestorianizmu	[0. 1.]	wszystko OK	NIE	NIE						
hierarchicznej struktury	0.0	wszystko OK	NIE	NIE						
hipoteki przymusowej	1.0	wszystko OK	NIE	RACZEJ NIE						
honorową bramkę	0.0	wszystko OK	NIE	NIE						
honorowego krwiodawstwa	1.0	wszystko OK	NIE	NIE						
honorowy prezes	1.0	wszystko OK	NIE	NIE						
hula hop	0.0	wszystko OK	NIE	TAK						
iloczyn rozpuszczalności	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
ilość gotówki	0.0	wszystko OK	NIE	NIE						
imiesłowów przymiotnikowych	0.0	wszystko OK	TAK	TAK						
indukcji elektromagnetycznej	1.0	wszystko OK	TAK	TAK						
insuliny przedposiłkowej	1.0	wszystko OK	NIE	RACZEJ NIE						
interferometrii dwuwiązkowej	[0. 1.]	wszystko OK	NIE	NIE WIEM						
intersubiektywną doświadczalność	1.0	wszystko OK	NIE	RACZEJ NIE						
intersubiektywnej sprawdzalności	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
jasnych kolorach	0.0	wszystko OK	NIE	NIE						
jelita drażliwego	[0. 1.]	urwana fraza	NIE	NIE	zespół jelita drażliwego					
jeżówki purpurowej	[0. 1.]	wszystko OK	TAK	TAK						
jęzory lodowców	1.0	wszystko OK	NIE	RACZEJ NIE						
języku hebrajskim	1.0	wszystko OK	TAK	TAK						
kalifa kordobańskiego	1.0	wszystko OK	TAK	RACZEJ TAK	in. Kalifat Kordoby					
kamizelki ochronnej	0.0	wszystko OK	NIE	RACZEJ NIE						
kancelarii notarialnej	1.0	wszystko OK	NIE	NIE						
kapicy popogrzebowej	1.0	błąd - literówka								
katakumby pobazyliańskie	1.0	wszystko OK	NIE	NIE						
kędziorkom osypującym	[0. 1.]	urwana fraza								
kilogram masy	1.0	wszystko OK	NIE	NIE						
kilogramami oporządzenia	1.0	wszystko OK	NIE	NIE						
kilometrów kwadratowych	[0. 1.]	wszystko OK	NIE	NIE						
klasztor bernardynek	1.0	wszystko OK	NIE	NIE						
klasztor kamedułów	1.0	wszystko OK	NIE	NIE						
klasztoru benedyktynów	1.0	wszystko OK	NIE	NIE						
klasztoru benedyktyńskiego	1.0	wszystko OK	NIE	NIE						
klasztoru kapucynów	1.0	wszystko OK	NIE	NIE						
klasztoru karmelitanek	1.0	wszystko OK	NIE	NIE						
klauzulą poufności	1.0	wszystko OK	TAK	RACZEJ TAK						
klątwy rzuconej	1.0	wszystko OK	NIE	NIE						
klientów informacje	0.0	urwana fraza								
klocki hamulcowe	1.0	wszystko OK	TAK	RACZEJ TAK						
klocu piszczałkowym	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
klubu muzycznego	0.0	wszystko OK	NIE	RACZEJ NIE						
klucz aktywacyjny	[0. 1.]	wszystko OK	NIE	RACZEJ TAK						
kłykcia potylicznego	1.0	wszystko OK	TAK	TAK						
koagulacji monopolarnej	1.0	wszystko OK	TAK	RACZEJ TAK						
kodem kreskowym	1.0	wszystko OK	NIE	TAK						
kokosową pierzynką	[0. 1.]	wszystko OK	NIE	NIE						
kolbki synaptycznej	1.0	wszystko OK	TAK	TAK						
kole podbiegunowym	1.0	wszystko OK	TAK	TAK						
kolejny projekt	0.0	wszystko OK	NIE	NIE						
koloraturowy sopran	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
kolumnie marszowej	[0. 1.]	wszystko OK	NIE	NIE						
koła podbiegunowego	1.0	wszystko OK	TAK	TAK						
kołacze bryzgane	1.0	urwana fraza								
kołowej orbicie	1.0	wszystko OK	NIE	NIE						
komory powietrznej	1.0	wszystko OK	NIE	RACZEJ NIE						
komórek nabłonkowych	0.0	wszystko OK	TAK	TAK						
kompania saperów	1.0	wszystko OK	NIE	NIE						
kompleks witamin	0.0	wszystko OK	NIE	NIE						
komsomolec komsomolcowi	1.0	wszystko OK	NIE	NIE	okazjonalizm					
kondensacji międzywarstwowej	1.0	wszystko OK	TAK	RACZEJ TAK						
kondukt żałobny	1.0	wszystko OK	NIE	TAK						
kontynencie północnoamerykańskim	0.0	deskrypcja określona								
kopułą pancerną	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
kory cynamonowca	[0. 1.]	wszystko OK	NIE	NIE						
kory wzrokowej	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
korzeń mandragory	1.0	wszystko OK	NIE	RACZEJ NIE						
kosę spalinową	1.0	wszystko OK	NIE	RACZEJ NIE						
kostkę bulionową	1.0	wszystko OK	NIE	RACZEJ NIE						
kostkę rosołową	1.0	wszystko OK	NIE	RACZEJ NIE						
kości cielęce	0.0	wszystko OK	NIE	NIE						
kościele farnym	1.0	wszystko OK	NIE	RACZEJ NIE						
kościele franciszkanów	1.0	wszystko OK	NIE	NIE						
kościele klasztornym	1.0	wszystko OK	NIE	NIE						
kościoła anglikańskiego	[0. 1.]	wszystko OK	NIE	NIE						
kradzieży tożsamości	0.0	wszystko OK	NIE	NIE						
kręgiem polarnym	1.0	wszystko OK	TAK	RACZEJ TAK						
ksieni klasztoru	1.0	wszystko OK	NIE	NIE						
księży pedofilów	1.0	wszystko OK	NIE	NIE						
księżycową poświatą	[0. 1.]	wszystko OK	NIE	NIE						
księżycowy regolit	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
kukanie kukułki	1.0	wszystko OK	NIE	NIE						
kurs euro	0.0	wszystko OK	NIE	NIE						
kwalifikowanym podpisem	[0. 1.]	wszystko OK	NIE	NIE						
kwarka 080000	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
kwaśnego torfu	[0. 1.]	wszystko OK	NIE	NIE						
liczbach zmiennoprzecinkowych	1.0	wszystko OK	TAK	TAK						
liftingu twarzy	0.0	wszystko OK	NIE	NIE						
limit debetowy	0.0	wszystko OK	NIE	NIE						
linią przerywaną	0.0	wszystko OK	NIE	NIE						
lipazy trzustkowej	1.0	wszystko OK	TAK	RACZEJ TAK						
listwy wykończeniowe	0.0	wszystko OK	NIE	RACZEJ NIE						
logarytmiczny dekrement	1.0	wszystko OK	NIE	RACZEJ NIE						
ludności ukraińskiej	0.0	wszystko OK	NIE	NIE						
lufą gwintowaną	1.0	wszystko OK	TAK	RACZEJ TAK						
luffy dyniowatej	[0. 1.]	urwana fraza								
luku bagażowym	[0. 1.]	wszystko OK	NIE	NIE						
łamaną niemczyzną	1.0	wszystko OK	NIE	NIE						
łańcuchówek dolinnych	0.0	wszystko OK	NIE	NIE						
łatwego życia	0.0	wszystko OK	NIE	NIE						
mafii paliwowej	1.0	wszystko OK	NIE	RACZEJ NIE						
mafii sycylijskiej	1.0	wszystko OK	NIE	NIE						
masy termoutwardzalnej	1.0	wszystko OK	NIE	RACZEJ TAK						
maszyny czyszczące	0.0	wszystko OK	NIE	NIE						
meszek płodowy	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
metastabilność indukowana	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
mężowych basałykach	1.0	wszystko OK	NIE	NIE						
miedzi beztlenowej	[0. 1.]	wszystko OK	TAK	TAK						
mieszkańców wioski	0.0	wszystko OK	NIE	NIE						
międzyszybowej kryptonem	[0. 1.]	urwana fraza								
mięśniaków macicy	1.0	wszystko OK	TAK	TAK						
mięty pieprzowej	0.0	wszystko OK	TAK	TAK						
mikroflorę pochwy	[0. 1.]	wszystko OK	NIE	NIE						
mikroskopii fluorescencyjnej	[0. 1.]	wszystko OK	TAK	TAK						
miłosne igraszki	0.0	wszystko OK	NIE	NIE						
miszków włosowych	1.0	błąd - literówka								
młodszy brat	0.0	wszystko OK	NIE	NIE						
młody psiak	0.0	wszystko OK	NIE	NIE						
młodziutkiego człowieka	0.0	wszystko OK	NIE	NIE						
mnich benedyktyński	1.0	wszystko OK	NIE	NIE						
mniszek klauzurowych	1.0	wszystko OK	NIE	NIE						
modelowania sylwetki	0.0	wszystko OK	NIE	NIE						
modlitwa dziękczynna	[0. 1.]	wszystko OK	NIE	NIE						
modlitwie arcykapłańskiej	1.0	wszystko OK	NIE	NIE						
mody ślubnej	0.0	wszystko OK	NIE	NIE						
monachijskiego klubu	1.0	wszystko OK	NIE	NIE						
mordę jeża	[0. 1.]	urwana fraza								
mruczącym kocurkiem	1.0	wszystko OK	NIE	NIE						
muru berlińskiego	1.0	deskrypcja określona								
muru pruskiego	1.0	wszystko OK	NIE	NIE						
muszla oczna	1.0	wszystko OK	TAK	TAK						
muzyki klezmerskiej	0.0	wszystko OK	TAK	TAK						
muzyki sączącej	0.0	urwana fraza								
nabłonkowego przedinwazyjnego	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
najczęściej myślimy	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
najlepszych zawodniczek	0.0	wszystko OK	NIE	NIE						
najwybitniejszych pisarzy	0.0	wszystko OK	NIE	NIE						
namiętnym poszukiwaniem	0.0	wszystko OK	NIE	NIE						
nanosekundy stalem	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
narciarstwie wysokogórskim	0.0	wszystko OK	NIE	TAK						
nawy poprzecznej	1.0	wszystko OK	TAK	TAK						
negatoskopach żaluzjowych	1.0	wszystko OK	TAK	TAK						
neogotycki kościół	[0. 1.]	wszystko OK	NIE	NIE						
neokantyzm badeński	1.0	wszystko OK	NIE	NIE						
neuropatii cukrzycowej	1.0	wszystko OK	TAK	TAK						
nieczynnej kopalni	1.0	wszystko OK	NIE	NIE						
niedokwaśność żołądka	1.0	wszystko OK	TAK	TAK						
niedomykalności aortalnej	1.0	wszystko OK	TAK	RACZEJ TAK						
nieformalnej separacji	0.0	wszystko OK	NIE	NIE						
niektórych gatunków	0.0	wszystko OK	NIE	NIE						
niemiecki zespół	1.0	wszystko OK	NIE	NIE						
niemieckiego klubu	1.0	wszystko OK	NIE	NIE						
niemieckiej okupacji	1.0	wszystko OK	NIE	NIE						
niepowtarzalny styl	0.0	wszystko OK	NIE	NIE						
nieślizgowych halsach	[0. 1.]	błąd - niegramatyczna fraza								
non est	0.0	błąd - niepolska zbitka wyrazów								
nulla obligatio	1.0	błąd - niepolska zbitka wyrazów								
numer polisy	0.0	wszystko OK	NIE	NIE						
nuta romansu	0.0	wszystko OK	NIE	NIE						
obiektem pożądania	0.0	wszystko OK	NIE	NIE						
obiektyw kamery	0.0	wszystko OK	NIE	NIE						
obocznej szynkowni	1.0	wszystko OK	NIE	NIE						
oborą wolnostanowiskową	1.0	wszystko OK	TAK	RACZEJ TAK						
obręczy barkowej	1.0	wszystko OK	TAK	TAK						
obronną ręką	0.0	wszystko OK	NIE	TAK						
obrządku ormiańskokatolickim	[0. 1.]	wszystko OK	NIE	NIE						
obwodu głosowania	0.0	wszystko OK	NIE	NIE						
oczeret jeziorny	0.0	wszystko OK	TAK	TAK						
oddzialik driad	[0. 1.]	wszystko OK	NIE	NIE						
odpalone race	0.0	wszystko OK	NIE	NIE						
odporności immunologicznej	[0. 1.]	wszystko OK	TAK	TAK						
odporności ogniowej	1.0	wszystko OK	TAK	TAK						
odpowiedzialności odszkodowawczej	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
odrzutu lufy	1.0	wszystko OK	NIE	NIE						
odtwarzacz multimediów	0.0	wszystko OK	NIE	NIE						
oferty sprzedaży	0.0	wszystko OK	NIE	NIE						
ogłady przysłoniona	0.0	urwana fraza								
ojca alkoholika	0.0	wszystko OK	NIE	NIE						
ojciec biologiczny	[0. 1.]	wszystko OK	NIE	NIE						
oklapniętym uszkiem	[0. 1.]	wszystko OK	NIE	NIE						
okresie laktacji	0.0	wszystko OK	NIE	NIE						
oligomerów amyloidu	0.0	wszystko OK	TAK	RACZEJ TAK						
ołtarz całopalenia	0.0	urwana fraza	NIE	NIE						
opadniętą szczeną	1.0	wszystko OK	NIE	NIE						
opata klasztoru	1.0	wszystko OK	NIE	NIE						
operację zaczepną	1.0	wszystko OK	NIE	NIE						
operatu kolaudacyjnego	1.0	wszystko OK	TAK	TAK						
opłat roamingowych	1.0	wszystko OK	NIE	NIE						
opłaty aktywacyjnej	1.0	wszystko OK	NIE	NIE						
opłaty manipulacyjnej	1.0	wszystko OK	NIE	NIE						
opłaty skarbowej	[0. 1.]	wszystko OK	NIE	NIE						
oprawa audiowizualna	0.0	wszystko OK	NIE	NIE						
orbicie wokółziemskiej	1.0	wszystko OK	TAK	TAK						
orbitę okołoksiężycową	[0. 1.]	wszystko OK	TAK	TAK						
orkiestrę smyczkową	0.0	wszystko OK	NIE	NIE						
orogenezie alpejskiej	1.0	wszystko OK	TAK	TAK						
oscylatorem kwarcowym	1.0	wszystko OK	TAK	RACZEJ TAK						
osobowa załoga	[0. 1.]	wszystko OK	NIE	NIE						
osoby konsekrowane	0.0	wszystko OK	NIE	NIE						
ostatniej dekady	0.0	wszystko OK	NIE	NIE						
owczarek pirenejski	[0. 1.]	wszystko OK	TAK	TAK						
pancerz pryzmatyczny	[0. 1.]	wszystko OK	NIE	NIE	to chyba z Diablo :)					
papą termozgrzewalną	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
parafii katedralnej	1.0	wszystko OK	NIE	NIE						
parafii rzymskokatolickiej	1.0	wszystko OK	NIE	NIE						
parafii wójcińskiej	[0. 1.]	wszystko OK	NIE	NIE						
pasa asteroid	0.0	wszystko OK	NIE	RACZEJ NIE	pas planetoid					
pawel marczak	1.0	nazwa własna								
personelu pokładowego	1.0	wszystko OK	NIE	NIE						
pewne bambus	1.0	urwana fraza								
pęcherza moczowego	[0. 1.]	wszystko OK	TAK	TAK						
pętla indukcyjna	0.0	wszystko OK	TAK	TAK						
piany urynowej	[0. 1.]	wszystko OK	NIE	NIE						
piece kaflowe	0.0	wszystko OK	TAK	RACZEJ TAK						
pieczęć lakowa	1.0	wszystko OK	TAK	RACZEJ TAK						
pierwszych przymrozkach	1.0	wszystko OK	NIE	NIE						
pilastrami dźwigającymi	0.0	urwana fraza								
pióreczka pawie	[0. 1.]	wszystko OK	NIE	NIE						
plotek krążących	0.0	wszystko OK	NIE	NIE						
pluszowy miś	0.0	wszystko OK	NIE	NIE						
pławki dymnej	1.0	wszystko OK	TAK	TAK						
płozy sań	1.0	wszystko OK	NIE	NIE						
pobiała wapienna	1.0	wszystko OK	TAK	TAK						
pobierana opłata	1.0	wszystko OK	NIE	NIE						
pobór energii	0.0	wszystko OK	NIE	NIE						
pochodne kumaryny	0.0	wszystko OK	NIE	NIE						
pochwa liściowa	1.0	wszystko OK	TAK	TAK						
początkowym stadium	0.0	wszystko OK	NIE	NIE						
podłożu alergicznym	1.0	wszystko OK	NIE	NIE						
podstawę prawną	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
podstawowych potrzeb	0.0	wszystko OK	NIE	NIE						
pogorszenie stanu	0.0	wszystko OK	NIE	NIE						
pohukującą naganką	1.0	wszystko OK	NIE	NIE						
pokładzie lotniskowca	1.0	wszystko OK	NIE	NIE						
polak polakowi	[0. 1.]	wszystko OK	NIE	NIE						
polimerowym monolite	0.0	błąd - niepolska zbitka wyrazów								
poluzowanych zylek	0.0	błąd - literówka			 					
połamania piór	0.0	wszystko OK	NIE	NIE	"może chodzi o frazę ""połamania piór"" w analogii do ""połamania długopisów"" i ""połamania nóg"""					
poprawiany zgodnie	1.0	wszystko OK	NIE	NIE						
poradni diabetologicznej	[0. 1.]	wszystko OK	NIE	NIE						
porażeniem mózgowym	1.0	wszystko OK	TAK	TAK						
porozdzieranej fufajce	1.0	wszystko OK	NIE	NIE						
port szeregowy	0.0	wszystko OK	TAK	TAK						
porze obiadowej	1.0	wszystko OK	NIE	NIE						
posadzka bezpyłowa	1.0	wszystko OK								
postępowaniu klauzulowym	1.0	wszystko OK								
potężną moc	0.0	wszystko OK	NIE	NIE						
potłuczeniami ciała	0.0	wszystko OK	NIE	NIE						
potrzebujących rodzin	0.0	wszystko OK	NIE	NIE						
poważne konsekwencje	0.0	wszystko OK	NIE	NIE						
powłok elektronowych	[0. 1.]	wszystko OK	TAK	TAK						
pozawątrobowej zakrzepicy	[0. 1.]	urwana fraza								
pozew rozwodowy	1.0	wszystko OK	NIE	NIE						
poziom inteligencji	0.0	wszystko OK	NIE	NIE						
pozwolenia wodnoprawnego	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
półkul mózgowych	0.0	wszystko OK	TAK	RACZEJ TAK						
