type	first_word	first_word_lemma	first_word_id	second_word	second_word_lemma	second_word_id	full_mwe	full_mwe_lemma	sentence
VERB+PRON	stały	stać	2	się	się	3	stały się	stać się	Działania te stały się konieczne , po tym jak kongres odrzucił program reformy emerytalnej i odsunął w czasie głosowanie nad kontrowersyjnym projektem podniesienia podatków od transakcji finansowych .
VERB+PRON	zgodzili	zgodzić	16	się	się	17	zgodzili się	zgodzić się	Prokurator Kapusta na polecenie Napierskiego miał także rozpatrzyć zażalenia polityków poszkodowanych przez UOP , którzy nie zgodzili się z decyzją prokuratury o umorzeniu śledztwa .
VERB+PRON	zdecydowało	zdecydować	3	się	się	4	zdecydowało się	zdecydować się	Gdyby kierownictwo ZUS zdecydowało się na Mercedesa lub BMW , to koszt jednego samochodu przekroczyłby przekroczył by 200 tys . nowych złotych .
ADJ+PRON	znajdujące	znajdować	4	się	się	5	znajdujące się	znajdować się	"Japońskie Ministerstwo Zdrowia zbadało znajdujące się na rynku trzy typy chińskich "" ziołowych "" pigułek odchudzających ."
VERB+PRON	zdziwiła	zdziwić	5	się	się	6	zdziwiła się	zdziwić się	- Jak to ? - zdziwiła się matka .
VERB+PRON	pojawił	pojawić	3	się	się	4	pojawił się	pojawić się	Tymczasem ostatnio krokodyl pojawił się w najmniej spodziewanym miejscu - w najbliższej okolicy Jeziora Białego .
VERB+PRON	Sprzeciwiał	sprzeciwiać	0	się	się	1	Sprzeciwiał się	sprzeciwiać się	"Sprzeciwiał się temu Krzaklewski i najsilniejszy , czwarty filar - Ruch Społeczny AWS , powstały jako polityczny reprezentant "" Solidarności "" ."
NOUN+VERB	Śledztwo	śledztwo	0	prowadzi	prowadzić	1	Śledztwo prowadzi	śledztwo prowadzić	Śledztwo prowadzi prokuratura na Pradze - Południe .
VERB+PRON	opowiadał	opowiadać	19	się	się	20	opowiadał się	opowiadać się	Za taką komercjalizacją - w myśl tezy , że ważna jest nie forma własności , lecz forma zarządzania - opowiadał się SLD w programie wyborczym .
VERB+ADP	przyjąć	przyjąć	5	do	do	6	przyjąć do	przyjąć do	- Nasi koledzy nie chcą przyjąć do wiadomości , że jest inaczej , niż miało być . . .
VERB+PRON	Naradzali	naradzać	0	się	się	1	Naradzali się	naradzać się	Naradzali się długo , a potem poszli do Spartakusa .
VERB+PRON	okazał	okazać	13	się	się	14	okazał się	okazać się	Mimo przeszkadzającego ulewnego deszczu i przenikliwego zimna najcelniej strzelającym spośród prawie 30 zawodników okazał się nasz redakcyjny kolega Ryszard Stelmaszczyk .
PRON+VERB	się	się	7	dołożyć	dołożyć	8	się dołożyć	się dołożyć	Od nowego roku do składek mieli by się dołożyć również pracownicy .
VERB+NOUN	wziął	wziąć	2	udział	udział	3	wziął udział	wziąć udział	W środę wziął udział w audiencji generalnej na Placu Świętego Piotra w Rzymie .
VERB+PRON	okazało	okazać	12	się	się	13	okazało się	okazać się	W trakcie kontroli zasadności wystawiania recept refundowanych przez Zachodniopomorską Regionalną Kasę Chorych okazało się , że dwaj lekarze z Trzebiatowa wystawili recepty pacjentom nie leczącym się hormonalnie .
VERB+ADP	staną	stanąć	11	przed	przed	12	staną przed	stanąć przed	Były szef szamotulskiej prokuratury , pani prokurator i pracownica sekretariatu prokuratury staną przed sądem za ukrywanie dokumentów i fałszowanie statystyk .
VERB+PRON	Zgadza	zgadzać	1	się	się	2	Zgadza się	zgadzać się	- Zgadza się .
VERB+PRON	zgadzają	zgadzać	13	się	się	14	zgadzają się	zgadzać się	Ta pozycja Neptuna może czynić cię wybuchowym w przypadku , gdy inni nie zgadzają się z twoimi nieugiętymi przekonaniami .
VERB+PRON	kolegować	kolegować	3	się	się	4	kolegować się	kolegować się	Można będąc ultrakatolikiem kolegować się z gejem .
VERB+PRON	zastanawiała	zastanawiać	5	się	się	6	zastanawiała się	zastanawiać się	Teraz mogła uciec , ale zastanawiała się , że nawet gdyby udało się jej wymknąć , to jeszcze nie wszystko .
VERB+PRON	udało	udać	11	się	się	12	udało się	udać się	Teraz mogła uciec , ale zastanawiała się , że nawet gdyby udało się jej wymknąć , to jeszcze nie wszystko .
VERB+PRON	Zgodził	zgodzić	0	się	się	1	Zgodził się	zgodzić się	Zgodził się , dał kilka dobrych rad i wyznaczył Polluksa na dowódcę .
VERB+PRON	zajął	zająć	1	się	się	2	zajął się	zająć się	"Sprawą zajął się Sąd Okręgowy w Łodzi i nakazał "" Multimediom "" zaprzestanie niezgodnych z prawem działań oraz usunięcie istniejących dotychczas sieci ."
PRON+VERB	się	się	40	udało	udać	41	się udało	się udać	Wie , co pisze , ma pół miliona subskrybentów , robi filmy , prowadzi bloga , fotografuje na Instagramie i wszystko to robi od 10 lat , zdobywając swoją markę , i właściwie powiedziałbym powiedział by m , że jej się udało .
VERB+NOUN	dać	dać	21	wyraz	wyraz	22	dać wyraz	dać wyraz	W oczach tych z naprzeciwka nie było także nienawiści , jeśli już , to fanatyzm ideowy , przeświadczenie , że trzeba dać wyraz swoim poglądom , protestować wobec niesprawiedliwości i bogactwu , a potem poszedł do swojego gabinetu i pracował do późnych godzin popołudniowych , patrząc od czasu do czasu na biwakujących studentów i połyskujące z dala , poza ogrodzeniem i bramą campusu , bagnety .
VERB+PRON	rozwrzeszczał	rozwrzeszczeć	3	się	się	4	rozwrzeszczał się	rozwrzeszczeć się	Gówniarz ! - rozwrzeszczał się Jasio .
VERB+PRON	wtrąciła	wtrącić	4	się	się	5	wtrąciła się	wtrącić się	- Na dodatek - wtrąciła się pani Roszko - kiedy rano zeszliśmy zeszli śmy na śniadanie , kelnerka , taka młoda siksa , stawiając dzbanek z wodą , chlapnęła mi na rękę .
VERB+PRON	Czuć	czuć	0	się	się	1	Czuć się	czuć się	Czuć się komfortowo ze sobą , być szczęśliwym , to nie znaczy udawać , że wszystko jest tak jak przed urodzeniem dziecka .
VERB+PRON	odezwać	odezwać	7	się	się	8	odezwać się	odezwać się	- Dziś nauczyciel nie może w szkole odezwać się nawet złym słowem i dlatego uczniowie robią , co chcą .
VERB+ADP	przyszedł	przyjść	5	na	na	6	przyszedł na	przyjść na	22 . 05 . 1859 przyszedł na świat Conan Doyle , który stworzył Sherlocka Holmesa .
VERB+NOUN	ma	mieć	1	prawa	prawo	2	ma prawa	mieć prawo	Nie ma prawa do emerytury , może jedynie liczyć na kilkaset zł zasiłku .
ADJ+NOUN	otoczone	otoczyć	3	tajemnicą	tajemnica	4	otoczone tajemnicą	otoczyć tajemnica	Nadal trwały , otoczone tajemnicą , negocjacje z porywaczami , którzy ostro zareagowali na ucieczkę pilotów .
ADJ+NOUN	doznanej	doznać	17	szkody	szkoda	18	doznanej szkody	doznać szkoda	Zasadnicze prawa konsumenta obejmują prawo do : ochrony życia i bezpieczeństwa ; ochrony interesów gospodarczych ; naprawienia doznanej szkody ; informacji i edukacji ; bycia wysłuchanym .
PRON+VERB	się	się	12	prosi	prosić	13	się prosi	się prosić	- Jak tu przeprowadzić generalny remont budynku , o który przecież aż się prosi - mówi Jacek Kowalczyk , członek zarządu województwa świętokrzyskiego .
VERB+PRON	stało	stać	16	się	się	17	stało się	stać się	"Urodzony na Martynice Bourgin blisko 30 lat temu założył "" święte miasto Mandarom "" , które stało się ośrodkiem sekty ."
VERB+PRON	sprawdziły	sprawdzić	1	się	się	2	sprawdziły się	sprawdzić się	Nie sprawdziły się więc obietnice , że płatny postój będzie obowiązywał już w dwa - trzy miesiące po podpisaniu umowy , co nastąpiło na początku października .
NOUN+NOUN	podpisaniu	podpisać	18	umowy	umowa	19	podpisaniu umowy	podpisać umowa	Nie sprawdziły się więc obietnice , że płatny postój będzie obowiązywał już w dwa - trzy miesiące po podpisaniu umowy , co nastąpiło na początku października .
VERB+PRON	Boję	bać	0	się	się	1	Boję się	bać się	Boję się coraz bardziej .
VERB+PRON	dowiedział	dowiedzieć	2	się	się	3	dowiedział się	dowiedzieć się	"Gdy tylko dowiedział się , że fragmenty wspomnień jego byłej pracownicy zamierza opublikować gazeta "" Mail on Sunday "" , w ciągu jednej nocy załatwił zakaz publikacji ."
PRON+VERB	się	się	1	powiodła	powieść	2	się powiodła	się powieść	Operacja się powiodła - w tej chwili pacjent widzi .
VERB+NOUN	grał	grać	9	mecz	mecz	10	grał mecz	grać mecz	Był niemal bezradny wobec fantastycznych zagrań rywala , który grał mecz swojego życia .
ADP+ADJ	na	na	4	dobre	dobry	5	na dobre	na dobry	Łucznikowi nie wyszła też na dobre współpraca z Universalem , za pośrednictwem którego sprzedawał maszyny do szycia i importował materiały oraz części .
NOUN+NOUN	wyrażenia	wyrazić	5	czci	cześć	6	wyrażenia czci	wyrazić cześć	Ta rocznica to powód do wyrażenia czci i hołdu żołnierzom walczącym o zwycięstwo nad hitleryzmem .
VERB+NOUN	ma	mieć	6	rację	racja	7	ma rację	mieć racja	Jednak ciągle nie wiadomo , kto ma rację : PKO czy właściciele książeczek mieszkaniowych .
NOUN+ADJ	praniu	prać	23	brudnych	brudny	24	praniu brudnych	prać brudny	Pomógł w transferze dwóch milionów złotych wyprowadzonych z PZU w czasie zakupu działki w Bydgoszczy , grozi mu za to zarzut pomocy w praniu brudnych pieniędzy .
VERB+NOUN	mają	mieć	9	ochoty	ochota	10	mają ochoty	mieć ochota	Syndrom wyuczonej bezradności sprawia , że tak naprawdę nie mają ochoty rezygnować z życia na dworcach - przypomina Piotr Ławacz , psycholog społeczny .
VERB+PRON	znajduje	znajdować	9	się	się	10	znajduje się	znajdować się	Część tego zużytego paliwa i odpadów z tego przerobu znajduje się nadal na ziemi francuskiej , podczas gdy ustawa z 31 grudnia 1991 r . o zarządzaniu odpadami radioaktywnymi zakazuje ich magazynowania poza terminy określone możliwościami technicznymi .
PRON+VERB	się	się	15	dzieje	dziać	16	się dzieje	się dziać	- Na szczęście nie musimy się jeszcze bić o każdego jednostkowego klienta , jak to się dzieje na przykład we Francji , gdzie nasycenie rynku jest ogromne - twierdzi Katarzyna Molenda .
VERB+NOUN	gwarantują	gwarantować	6	przeprowadzenia	przeprowadzić	7	gwarantują przeprowadzenia	gwarantować przeprowadzić	Ale ci politycy z kolei nie gwarantują przeprowadzenia koniecznych reform gospodarczych .
VERB+PRON	krzątali	krzątać	6	się	się	7	krzątali się	krzątać się	Stali wśród namiotów , w których krzątali się nadwołżańscy Niemcy , zruszczeni po wiekach .
PRON+VERB	się	się	9	skusi	skusić	10	się skusi	się skusić	Jeśli tak jest w istocie , to chyba jeszcze się skusi .
VERB+PRON	Posługiwał	posługiwać	0	się	się	1	Posługiwał się	posługiwać się	Posługiwał się pełnomocnictwem Jacka Mejznera i Jacka Berdyna z zarządu PZU SA .
VERB+PRON	oglądać	oglądać	6	się	się	7	oglądać się	oglądać się	Już nie znajduje pretekstów , aby oglądać się do tyłu na dziewczynę i jej psa .
VERB+PRON	staram	starać	1	się	się	2	staram się	starać się	"Ja staram się kierować sercem tak jak Azjaci "" - mówił ."
VERB+ADP	Bierzemy	brać	1	pod	pod	2	Bierzemy pod	brać pod	- Bierzemy pod lupę firmy handlujące długami szpitali - zapowiedział minister zdrowia Mariusz Łapiński .
VERB+PRON	zdziwiła	zdziwić	1	się	się	2	zdziwiła się	zdziwić się	Beata zdziwiła się , kiedy uprzytomniła sobie , jak często u nich bywa .
VERB+PRON	domagają	domagać	25	się	się	26	domagają się	domagać się	Podczas wystąpień indywidualnych poseł Józef Nowicki z SLD przekazał stanowisko okręgowych izb lekarskich ze Szczecina i Łodzi : tamtejsi lekarze nie akceptują projektu ustawy i domagają się odwołania minister Anny Knysok , jako osoby niekompetentnej .
VERB+PRON	przesiada	przesiadać	7	się	się	8	przesiada się	przesiadać się	Po dotarciu na miejsce pracy dwóch pograniczników przesiada się z kabiny kierowcy do przedziału operatorskiego .
VERB+PRON	zachowywali	zachowywać	1	się	się	2	zachowywali się	zachowywać się	Uczniowie zachowywali się jednak spokojnie .
VERB+NOUN	mieć	mieć	6	powiązania	powiązanie	7	mieć powiązania	mieć powiązanie	"Policja podejrzewa , że gang może mieć powiązania "" z mafijnymi strukturami międzynarodowymi "" ."
VERB+PRON	udało	udać	4	się	się	5	udało się	udać się	Na razie ich nie udało się zidentyfikować .
VERB+PRON	pojawił	pojawić	1	się	się	2	pojawił się	pojawić się	"Kiedy pojawił się w Widzewie ( jako 19-latek kupiony z Zawiszy ) , powiedział : "" Wy tu będziecie dobrze ze mną mieli , zrobię wam puchary , zrobię mistrza Polski , a potem pojadę na Zachód i tam też zrobię karierę , i jeszcze reprezentację poprowadzę do sukcesów "" . . ."
VERB+NOUN	zrobię	zrobić	40	karierę	kariera	41	zrobię karierę	zrobić kariera	"Kiedy pojawił się w Widzewie ( jako 19-latek kupiony z Zawiszy ) , powiedział : "" Wy tu będziecie dobrze ze mną mieli , zrobię wam puchary , zrobię mistrza Polski , a potem pojadę na Zachód i tam też zrobię karierę , i jeszcze reprezentację poprowadzę do sukcesów "" . . ."
PRON+VERB	się	się	1	okazało	okazać	2	się okazało	się okazać	Jak się okazało , potrafimy to robić , za co - powiem nieskromnie - pochwalono nas , ale jakże wiele jeszcze przed nami .
VERB+PRON	powołując	powoływać	3	się	się	4	powołując się	powoływać się	AFP podała , powołując się na anonimowe źródła dyplomatyczne , że w nocy obecne w Petersburgu delegacje zdołały skompletować listy około 200 kandydatów do tymczasowej rady mającej rządzić Afganistanem do czasu powołania nowego rządu .
VERB+PRON	zachował	zachować	7	się	się	8	zachował się	zachować się	- Ostatnio powiedział Pan , że Trybunał zachował się w sprawie konkordatu jak Piłat .
VERB+ADP	usiedzieć	usiedzieć	15	na	na	16	usiedzieć na	usiedzieć na	- Bardzo dobry człowiek - odpowiedział gorąco i patrzył na Zośkę , która nie mogła usiedzieć na miejscu , wyręczyła Jaskólską w nalewaniu herbaty , pooglądała książki leżące na starej komodzie , podkręciła lampy , obejrzała szydełkową serwetę , jaką była nakryta maszyna do szycia , przygładziła dzieciom włosy i kręciła się po izbie jak fryga .
VERB+PRON	kręciła	kręcić	50	się	się	51	kręciła się	kręcić się	- Bardzo dobry człowiek - odpowiedział gorąco i patrzył na Zośkę , która nie mogła usiedzieć na miejscu , wyręczyła Jaskólską w nalewaniu herbaty , pooglądała książki leżące na starej komodzie , podkręciła lampy , obejrzała szydełkową serwetę , jaką była nakryta maszyna do szycia , przygładziła dzieciom włosy i kręciła się po izbie jak fryga .
VERB+PRON	zajmuje	zajmować	3	się	się	4	zajmuje się	zajmować się	Projektem stosownej ustawy zajmuje się już Sejm .
VERB+PRON	udało	udać	6	się	się	7	udało się	udać się	W czasie obławy policjantom z Pieniężna udało się zatrzymać dwóch kłusowników .
VERB+PRON	Pojawia	pojawiać	0	się	się	1	Pojawia się	pojawiać się	Pojawia się drapanie w gardle , wysypka , nagły spadek ciśnienia , duszność , trudności w oddychaniu , bóle brzucha .
VERB+PRON	zorientowali	zorientować	1	się	się	2	zorientowali się	zorientować się	Pasażerowie zorientowali się z rozmów przeprowadzanych pomiędzy przedstawicielami szkoły , a kierowcą , że właśnie ich autobus został wyczarterowany do przewozu uczniów na zieloną szkołę .
VERB+PRON	zdawały	zdawać	15	się	się	16	zdawały się	zdawać się	W mieszkaniu Ringów zapanował nagle inny nastrój ; warkot motorów i głosy dobiegające z ulicy zdawały się mniej straszne i bardziej odległe .
VERB+PRON	pojawiła	pojawić	2	się	się	3	pojawiła się	pojawić się	Na rynku pojawiła się nowa zaprawa do ocieplania budynków Ceresit CT 85 ZIMA .
VERB+NOUN	bierze	brać	58	udział	udział	59	bierze udział	brać udział	"Pomysły Marka Borowskiego na otwarcie na Partię Demokratyczną , która oficjalnie jest za wprowadzeniem podatku liniowego oraz wystawiła do wyborów prezydenckich przedstawicielkę wielkiego kapitału Henrykę Bochniarz , wyraźnie pokazują , że ten pan z jednej strony nie rozumie pojęcia "" lewica "" jako ugrupowania prospołecznego , zorientowanego na pracobiorców a nie pracodawców , a z drugiej kolejny raz bierze udział w wypaczaniu tego pojęcia w oczach wyborców ."
VERB+PRON	bała	bać	2	się	się	3	bała się	bać się	- Nie bała się tak w biały dzień ?
NOUN+VERB	nieufnością	nieufność	25	obdarzając	obdarzać	26	nieufnością obdarzając	nieufność obdarzać	W początkach lat 60 . w badaniach opinii publicznej Polacy deklarowali największe sympatie wobec Francuzów i Węgrów , traktując ich jako narody przyjazne , największą nieufnością obdarzając sąsiadów : Niemców , Rosjan i Czechów .
VERB+PRON	sprzeciwiać	sprzeciwiać	28	się	się	29	sprzeciwiać się	sprzeciwiać się	"Elitarna kultura wysoka odgrywała w historii Zachodu kluczową rolę - spoglądała z zewnątrz na społeczeństwo i rozbijała jego wizje samego siebie , uczyła mówić "" nie "" , sprzeciwiać się status quo ."
PRON+VERB	się	się	3	śni	śnić	4	się śni	się śnić	– Co ci się śni ?
VERB+NOUN	mieli	mieć	18	wątpliwości	wątpliwość	19	mieli wątpliwości	mieć wątpliwość	Jego przewaga nie była jednak tak przygniatająca jak w pierwszym starciu , ale sędziowie tym razem też nie mieli wątpliwości , kto jest lepszy .
VERB+NOUN	bierze	brać	15	udziału	udział	16	bierze udziału	brać udział	"Pisarz Wojciech Kuczok wyznał w wywiadzie dla "" Przeglądu "" , iż z zasady nie bierze udziału "" w żadnych szopkach politycznych ani w wyborach "" , następnie wyjaśnił dlaczego : "" Nie chcę postępować wbrew sobie ."
NOUN+VERB	zastosowanie	zastosować	3	znajdą	znaleźć	4	zastosowanie znajdą	zastosować znaleźć	W przyszłości większe zastosowanie znajdą zapewne bardziej wyrafinowane detektory fal mózgowych , wyposażonych w elektrody umieszczane na skórze głowy .
ADP+NOUN	w	w	6	stanie	stan	7	w stanie	w stan	Dłużnik , który nie jest już w stanie spłacać kredytu , może wystąpić o ogłoszenie upadłości .
VERB+PRON	wykrwawiał	wykrwawiać	26	się	się	27	wykrwawiał się	wykrwawiać się	Najszczęśliwszy sen , jaki potrafił przywołać na skałach obok basenu Marca Vilo , opowiadał o tym , jak leżał na obesranym bruku zaułka w Ankhanie i wykrwawiał się na śmierć .
VERB+PRON	zdecyduje	zdecydować	2	się	się	3	zdecyduje się	zdecydować się	Czy Milon zdecyduje się na powrót ?
VERB+ADP	weszła	wejść	4	w	w	5	weszła w	wejść w	Najnowsza ustawa , która weszła w życie w maju 2004 roku , precyzuje zasady udzielania tego typu pomocy oraz kryteria dochodowe , które muszą być spełnione , ale była ona bezpłatna - wyjaśnia Magdalena Gościniewicz , zastępca dyrektora Miejskiego Ośrodka Pomocy Rodzinie w Kielcach .
VERB+PRON	posunęli	posunąć	11	się	się	12	posunęli się	posunąć się	Ani Miller , ani Belka , pomimo wysuwania zarzutów , nie posunęli się do straszenia prezesa banku notatkami ABW .
VERB+PRON	snuje	snuć	4	się	się	5	snuje się	snuć się	W niedzielę po parkiecie snuje się już tylko kilkanaście osób .
VERB+PRON	przekomarzały	przekomarzać	23	się	się	24	przekomarzały się	przekomarzać się	"Drzwi wagonu towarowego były na oścież otwarte , tłoczyłyśmy tłoczyły śmy się w nich , wystawiając twarze do anemicznego słońca , niektóre dziewczyny przekomarzały się z najbliższym "" męskim wagonem "" , tam też widziało się same młode twarze ."
ADJ+NOUN	doznanych	doznać	8	obrażeń	obrażenie	9	doznanych obrażeń	doznać obrażenie	Mając w ręku szczegółową obdukcję lekarską oraz zdjęcia doznanych obrażeń Alina F . złożyła 19 bm . w Prokuraturze Rejonowej w Brzozowie pisemne zawiadomienie o przestępstwie stwierdzając , że została bezpodstawnie zatrzymana przez policję i że policjanci użyli wobec niej siły .
NOUN+VERB	rytm	rytm	6	nadaje	nadawać	7	rytm nadaje	rytm nadawać	Najsłabiej wypada scena guseł , której rytm nadaje monotonna muzyka Jerzy Satanowskiego .
VERB+PRON	śmiać	śmiać	4	się	się	5	śmiać się	śmiać się	Czy mogł em nie śmiać się , kiedy Rada Europy - której członkiem była i jest Turcja - potępiła Jaruzelskiego za łamanie praw człowieka ?
VERB+PRON	Okazuje	okazywać	0	się	się	1	Okazuje się	okazywać się	Okazuje się , że zaproszona grupa baletowa prawdopodobnie będzie musiała zrezygnować z udziału w festiwalu .
VERB+PRON	pojawią	pojawić	10	się	się	11	pojawią się	pojawić się	"Specjaliści "" do spraw społecznych i informacyjno - propagandowych "" pojawią się w zakładach i sowchozach w obwodzie homelskim ."
VERB+PRON	Udało	udać	0	się	się	1	Udało się	udać się	Udało się to po kilkuletnim procesie jedynie w Kałudze .
VERB+PRON	cieszyła	cieszyć	17	się	się	18	cieszyła się	cieszyć się	Odpowiedź : Chciałabym Chciała by m , żeby tradycyjna rodzina zajęła należytą pozycję w społeczeństwie , żeby cieszyła się szacunkiem .
ADJ+PRON	wywodzące	wywodzić	7	się	się	8	wywodzące się	wywodzić się	Często systemy filozoficzne , nauki i posłania wywodzące się z innych kultur z wielkim trudem trafiają do mieszkańców innego kręgu kulturowego .
NOUN+NOUN	dokonaniu	dokonać	15	rzezi	rzeź	16	dokonaniu rzezi	dokonać rzeź	Jak ujawniła wczoraj policja , z zapisków jednego z młodocianych morderców wynika , że po dokonaniu rzezi w kompleksie szkolnym chcieli oni spustoszyć również okoliczne osiedla , a potem uprowadzić samolot , zmusić go do lotu nad Nowy Jork i doprowadzić do spektakularnej katastrofy nad centrum Manhattanu .
VERB+PROPN	były	być	18	zdania	zdanie	19	były zdania	być zdanie	"Po obejrzeniu filmu "" Jurassic Park "" ja i wszystkie osoby , które o to zapytał em , były zdania , że film stanowczo nie jest przeznaczony dla najmłodszej części widowni ."
VERB+NOUN	bierze	brać	2	udział	udział	3	bierze udział	brać udział	W targach bierze udział 800 firm z 10 krajów .
VERB+PRON	wydawała	wydawać	14	się	się	15	wydawała się	wydawać się	Po wielu medytacjach zdecydował em się głosować za niepodległą Bośnią , bo ta opcja wydawała się najmniej wojenna .
VERB+PRON	zdecydował	zdecydować	3	się	się	4	zdecydował się	zdecydować się	Naczelny - Dlaczego zdecydował się Pan stanąć w obronie integralności Ochli ?
VERB+PRON	Okazało	okazać	0	się	się	1	Okazało się	okazać się	Okazało się , że na ponad 70 wyemitowanych filmów aż 61 zostało wyprodukowanych w USA .
VERB+PRON	nadaje	nadawać	15	się	się	16	nadaje się	nadawać się	Zresztą nie sztuka wywalić kogoś z hukiem , trudniej jest przekonać nauczyciela , że nie nadaje się do pracy w szkole - mówi dyrektorka .
ADJ+ADP	wchodzących	wchodzić	6	w	w	7	wchodzących w	wchodzić w	Trwają już negocjacje z prezesami spółek wchodzących w skład ŚFUP-u .
VERB+PRON	wydali	wydać	12	się	się	13	wydali się	wydać się	"Oficerowi . który przyjął niemieckich więźniów w dzień po ich przybyciu , wydali się oni od razu wyjątkowo podejrzani , wobec czego przekazał ich dalej do specjalnego Centrum Przesłuchania , podając jako powód ich przekazania "" zbyt wiarogodne dokumenty """
NOUN+NOUN	zdobycia	zdobyć	7	goli	gol	8	zdobycia goli	zdobyć gol	Obydwie drużyny miały bardzo wiele okazji do zdobycia goli , ale skuteczniejsi byli gracze Interu .
NOUN+ADP	trudnościami	trudność	7	na	na	8	trudnościami na	trudność na	Dostawy maszyn radzieckich uchronią Czechosłowację przed licznymi trudnościami na jakie ona napotykała w przeszłości w pewnych krajach kapitalistycznych , które w stosunkach handlowych uciekały się do stosowania metod dyskryminacyjnych .
VERB+PRON	uciekały	uciekać	23	się	się	24	uciekały się	uciekać się	Dostawy maszyn radzieckich uchronią Czechosłowację przed licznymi trudnościami na jakie ona napotykała w przeszłości w pewnych krajach kapitalistycznych , które w stosunkach handlowych uciekały się do stosowania metod dyskryminacyjnych .
VERB+PRON	dostali	dostać	1	się	się	2	dostali się	dostać się	Włamywacze dostali się do kiosku przy alei Solidarności - wcześniej wyrywając deski w bocznej ścianie i odginając blachę zabezpieczającą .
VERB+NOUN	sprawiać	sprawiać	21	wrażenie	wrażenie	22	sprawiać wrażenie	sprawiać wrażenie	Aby być wyraźnie ( i pozytywnie ) postrzegana w miejscu pracy , powinnaś powinna ś zadbać o swój zewnętrzny wizerunek : sprawiać wrażenie osoby wewnętrznie skupionej , czującej się swobodnie w swojej skórze i w każdym momencie bardzo zaabsorbowanej swoimi obowiązkami .
ADJ+PRON	czującej	czuć	27	się	się	28	czującej się	czuć się	Aby być wyraźnie ( i pozytywnie ) postrzegana w miejscu pracy , powinnaś powinna ś zadbać o swój zewnętrzny wizerunek : sprawiać wrażenie osoby wewnętrznie skupionej , czującej się swobodnie w swojej skórze i w każdym momencie bardzo zaabsorbowanej swoimi obowiązkami .
VERB+NOUN	mam	mieć	5	kwalifikacji	kwalifikacje	6	mam kwalifikacji	mieć kwalifikacje	Ktoś powie : „ Nie mam kwalifikacji ” .
