type	first_word	second_word
ADJ+NOUN	jednego	samochodu
ADJ+NOUN	nowych	złotych
ADP+NOUN	po	otwarciu
NOUN+NOUN	otwarciu	pliku
NOUN+NOUN	pliku	typu
ADP+NOUN	na	ekranie
ADP+NOUN	zamiast	tekstu
NOUN+VERB	tekstu	zobaczysz
VERB+PRON	zobaczysz	coś
ADP+NOUN	z	wyglądu
NOUN+VERB	wyglądu	przypomina
VERB+NOUN	przypomina	efekt
NOUN+NOUN	efekt	pracy
ADJ+NOUN	pijanego	telegrafisty
NOUN+ADJ	telegrafisty	piszącego
ADJ+NOUN	piszącego	alfabetem
ADP+NOUN	na	dodatek
ADP+NOUN	przez	muchy
VERB+PRON	denerwuj	się
ADJ+NOUN	Japońskie	Ministerstwo
NOUN+NOUN	Ministerstwo	Zdrowia
ADP+NOUN	na	rynku
NOUN+ADJ	pigułek	odchudzających
ADJ+NOUN	lewackiego	ugrupowania
NOUN+ADJ	ugrupowania	terrorystycznego
ADP+NOUN	w	strzelaninie
ADP+NOUN	z	policją
ADP+NOUN	w	czwartek
ADJ+NOUN	indyjska	agencja
NOUN+ADJ	agencja	prasowa
NOUN+VERB	program	zdjąć
ADP+NOUN	o	profesjonalizmie
VERB+PRON	tłumaczył	się
ADP+NOUN	na	łamach
VERB+PRON	odbędzie	się
NOUN+ADJ	partia	lewicowa
ADP+NOUN	z	domieszką
NOUN+NOUN	domieszką	idei
NOUN+ADJ	idei	chrześcijańskich
NOUN+VERB	Badacze	ocenili
NOUN+NOUN	ton	materiału
NOUN+ADJ	materiału	skalnego
ADP+NOUN	na	odcinku
NOUN+NOUN	odcinku	brzegu
NOUN+ADJ	dziury	poczynione
ADJ+NOUN	poczynione	sztormami
ADJ+NOUN	ostatniego	okresu
NOUN+VERB	miejscami	rozszerzyć
VERB+NOUN	rozszerzyć	plaże
ADP+NOUN	W	środę
ADP+NOUN	w	audiencji
NOUN+ADJ	audiencji	generalnej
ADP+NOUN	na	Placu
ADJ+NOUN	charakterystycznym	kształcie
ADP+NOUN	dla	historii
ADJ+NOUN	polskiego	taternictwa
NOUN+NOUN	większość	taterników
ADP+NOUN	na	terenie
ADJ+NOUN	całego	kraju
ADP+NOUN	w	rejonie
ADJ+NOUN	Zachodnim	Brzegu
ADJ+NOUN	palestyński	samochód
ADJ+NOUN	długi	czas
NOUN+VERB	czas	szli
VERB+NOUN	szli	ręka
ADP+NOUN	w	rękę
ADJ+NOUN	ostatnia	lekcja
NOUN+VERB	Zabieg	trwa
ADP+NOUN	do	godziny
NOUN+ADJ	pacjent	wypisywany
ADP+NOUN	ze	szpitala
ADJ+NOUN	następnego	dnia
ADJ+NOUN	smażonych	potraw
ADJ+NOUN	II	Wydział
NOUN+ADJ	Wydział	Polityczny
VERB+PRON	założył	jej
ADP+NOUN	na	polach
NOUN+NOUN	polach	cykorii
VERB+NOUN	zmienić	pracę
VERB+NOUN	rekompensuje	możliwość
ADJ+NOUN	taniego	zakupu
ADJ+NOUN	nowych	akcji
ADP+NOUN	pośród	chałup
ADP+NOUN	spod	ziemi
NOUN+VERB	ziemi	doszedł
VERB+PRON	doszedł	nas
ADJ+NOUN	martwy	głos
VERB+PRON	szukacie	czegoś
NOUN+ADJ	Przewagę	mizerną
ADJ+NOUN	poprzedniej	kadencji
ADJ+NOUN	ostatni	etap
ADP+NOUN	w	lutym
NOUN+NOUN	Światło	reflektorów
ADP+NOUN	na	klatkę
NOUN+ADJ	klatkę	schodową
VERB+PRON	czynić	cię
ADP+NOUN	w	przypadku
ADJ+NOUN	nieugiętymi	przekonaniami
VERB+NOUN	mają	dowody
ADJ+NOUN	przestępczej	działalności
NOUN+NOUN	Ograniczenie	szybkości
ADP+NOUN	od	soboty
ADP+NOUN	z	powodu
ADJ+NOUN	rutynowych	prac
NOUN+ADJ	prac	konserwatorskich
VERB+PRON	znaczy	to
ADP+NOUN	z	gejem
NOUN+VERB	pan	rozmawiał
ADP+NOUN	z	doktorem
ADP+NOUN	na	dowódcę
ADJ+NOUN	prawdziwym	sługą
VERB+NOUN	robi	filmy
VERB+NOUN	prowadzi	bloga
ADP+NOUN	W	oczach
NOUN+ADJ	fanatyzm	ideowy
ADP+NOUN	wobec	niesprawiedliwości
ADJ+NOUN	późnych	godzin
NOUN+ADJ	godzin	popołudniowych
VERB+ADP	patrząc	od
ADP+NOUN	od	czasu
ADP+NOUN	do	czasu
ADJ+NOUN	biwakujących	studentów
ADP+NOUN	poza	ogrodzeniem
NOUN+NOUN	bramą	campusu
ADP+NOUN	Na	dodatek
ADP+NOUN	na	śniadanie
ADJ+NOUN	młoda	siksa
VERB+NOUN	stawiając	dzbanek
ADP+NOUN	z	wodą
VERB+PRON	chlapnęła	mi
ADP+NOUN	na	rękę
VERB+PRON	umieszczono	go
ADP+NOUN	w	celi
ADJ+NOUN	zaostrzonym	rygorze
ADJ+NOUN	ostatnich	demonstracji
ADJ+NOUN	masowy	udział
ADJ+NOUN	młodych	ludzi
ADP+NOUN	przed	urodzeniem
NOUN+NOUN	urodzeniem	dziecka
ADJ+NOUN	różnych	inwestycji
VERB+NOUN	znajdziemy	podręcznika
ADJ+NOUN	anachronicznych	stereotypów
ADP+NOUN	na	temat
NOUN+ADJ	roli	społecznej
ADP+NOUN	w	szkole
ADJ+NOUN	złym	słowem
NOUN+VERB	uczniowie	robią
ADP+NOUN	Od	końca
ADJ+NOUN	wielonarodowym	cesarstwie
NOUN+ADJ	cesarstwie	austriackim
NOUN+NOUN	przejawy	budzenia
NOUN+PRON	budzenia	się
NOUN+NOUN	poczucia	odrębności
NOUN+ADJ	odrębności	narodowej
ADJ+NOUN	poszczególnych	społeczności
NOUN+ADJ	grup	językowo
NOUN+ADJ	aparat	mierzący
ADJ+NOUN	mierzący	dopływ
NOUN+NOUN	dopływ	tlenu
ADP+NOUN	do	organizmu
ADP+NOUN	na	dobę
NOUN+NOUN	poziom	tlenu
ADP+NOUN	do	emerytury
NOUN+NOUN	członek	zarządu
NOUN+NOUN	zarządu	województwa
NOUN+ADJ	województwa	świętokrzyskiego
ADP+NOUN	Po	chwili
VERB+PRON	Zapraszamy	wszystkich
ADP+NOUN	do	udziału
VERB+PRON	charakteryzuje	się
ADJ+NOUN	płatny	postój
ADP+NOUN	na	początku
NOUN+NOUN	początku	października
NOUN+VERB	Episkopat	wyraził
VERB+NOUN	wyraził	zadowolenie
NOUN+ADJ	reprezentację	narodową
ADJ+NOUN	krajowej	ligi
VERB+PRON	nauczyli	się
ADJ+NOUN	ukrytych	miejsc
VERB+NOUN	drzemie	rozkosz
NOUN+VERB	Fotel	trzymać
ADJ+NOUN	całych	sił
NOUN+ADJ	ptaszki	zwiastujące
ADJ+NOUN	zwiastujące	wiosnę
ADJ+NOUN	odwołany	wiceburmistrz
ADP+NOUN	od	inwestycji
ADP+NOUN	do	domu
ADJ+NOUN	betonowego	okrąglaka
ADP+NOUN	od	miesięcy
NOUN+VERB	miesięcy	szarzały
VERB+NOUN	szarzały	strzępki
VERB+PRON	wlekli	się
ADP+NOUN	bez	nadziei
ADP+NOUN	na	zwycięstwo
ADJ+NOUN	drugiej	połowie
VERB+NOUN	przykręcić	wysięgnik
ADP+NOUN	z	kamerą
ADJ+NOUN	jedynego	okna
ADJ+NOUN	szczególną	uwagę
NOUN+VERB	uwagę	zasługują
ADJ+NOUN	zaakcentowane	potrzeby
NOUN+NOUN	potrzeby	pracy
ADJ+NOUN	własnym	charakterem
VERB+NOUN	zaabsorbowało	jubilera
ADP+NOUN	o	biżuterii
ADJ+NOUN	pozostała	dwójka
NOUN+VERB	dwójka	zagarnęła
ADP+NOUN	z	szuflady
ADJ+NOUN	łącznej	wartości
ADJ+NOUN	fantastycznych	zagrań
NOUN+NOUN	zagrań	rywala
VERB+NOUN	bronić	ministra
NOUN+NOUN	ministra	skarbu
NOUN+VERB	odwołanie	wystąpiło
VERB+NOUN	twierdzą	politycy
NOUN+NOUN	politycy	koalicji
ADP+NOUN	w	sprawie
VERB+NOUN	wszczęła	Prokuratura
NOUN+ADJ	Prokuratura	Rejonowa
NOUN+NOUN	Idea	solidarności
NOUN+ADJ	solidarności	międzynarodowej
ADJ+NOUN	cały	Kongres
ADP+NOUN	do	więzienia
ADP+NOUN	po	raz
NOUN+ADJ	raz	czwarty
ADP+NOUN	z	liderów
ADJ+NOUN	Lubińskim	Zagłębiu
NOUN+ADJ	Zagłębiu	Miedziowym
NOUN+VERB	Harcerze	zbierają
ADJ+NOUN	niepotrzebne	rowery
ADP+NOUN	po	naprawie
NOUN+VERB	naprawie	przekazać
VERB+PRON	przekazać	je
NOUN+NOUN	Domowi	Dziecka
ADJ+NOUN	automatyczne	sprawdzanie
NOUN+NOUN	sprawdzanie	kompletności
ADJ+NOUN	mickiewiczowskiego	wiersza
ADJ+PRON	zaczynającego	się
ADP+NOUN	od	słów
ADP+NOUN	w	usta
NOUN+NOUN	usta	wdowy
ADP+NOUN	na	synach
ADJ+NOUN	duchowy	obowiązek
NOUN+NOUN	bycia	artystą
ADJ+PRON	wyrażający	się
NOUN+NOUN	właściciele	książeczek
NOUN+ADJ	książeczek	mieszkaniowych
ADP+NOUN	w	oknie
ADP+NOUN	z	nogami
NOUN+ADJ	nogami	wystawionymi
ADP+NOUN	w	porę
NOUN+VERB	porę	obezwładnili
VERB+PRON	obezwładnili	go
ADP+NOUN	z	okna
NOUN+ADJ	strażnicy	miejscy
ADP+NOUN	w	roku
NOUN+VERB	pracownik	rozpoczął
VERB+NOUN	rozpoczął	wykorzystywanie
NOUN+NOUN	wykorzystywanie	urlopu
NOUN+ADJ	urlopu	bezpłatnego
ADJ+NOUN	określany	czas
NOUN+ADJ	czas	przepracowany
ADP+NOUN	w	roku
VERB+NOUN	podjął	zatrudnienie
NOUN+NOUN	zakładzie	pracy
ADP+NOUN	od	agenta
ADJ+NOUN	następującą	wiadomość
NOUN+VERB	PANU	DONIEŚĆ
NOUN+VERB	PODRÓŻY	PRZYWIÓZŁ
ADP+NOUN		GAPĘ
ADJ+NOUN	wyuczonej	bezradności
ADP+NOUN	z	życia
ADP+NOUN	na	dworcach
NOUN+ADJ	psycholog	społeczny
VERB+NOUN	znaleźć	miejsce
NOUN+NOUN	miejsce	pracy
ADJ+NOUN	księżycową	poświatą
NOUN+VERB	zboczu	odcinały
VERB+PRON	odcinały	się
ADJ+NOUN	ciemną	barwą
ADJ+NOUN	zrąbanych	gałęzi
ADJ+NOUN	sosnowe	pnie
NOUN+NOUN	Rozwój	gospodarki
NOUN+ADJ	gospodarki	indyjskiej
NOUN+ADJ	gospodarkę	pakistańską
ADJ+NOUN	zrośnięte	blizną
VERB+NOUN	uświadomić	młodzieży
ADJ+NOUN	samo	południe
ADP+NOUN	ze	zdjęć
NOUN+ADJ	bandytów	uzbrojonych
ADP+NOUN	w	kałasznikowy
ADJ+PRON	ciągnąca	się
ADJ+NOUN	następne	stulecia
ADJ+NOUN	fatalna	tradycja
NOUN+NOUN	tradycja	mieszania
NOUN+PRON	mieszania	się
ADJ+NOUN	wewnętrzne	sprawy
NOUN+ADJ	sprawy	polskie
NOUN+NOUN	osłabiania	państwa
NOUN+ADJ	państwa	polskiego
NOUN+ADJ	sił	społecznych
NOUN+NOUN	produkty	przemysłu
NOUN+ADJ	przemysłu	chemicznego
ADJ+NOUN	następny	dzień
NOUN+VERB	dzień	minęły
VERB+NOUN	czuli	ulgę
ADP+NOUN	z	kolei
ADP+NOUN	wśród	namiotów
ADP+NOUN	po	wiekach
NOUN+NOUN	panie	ministrze
ADJ+NOUN	najważniejszy	dzień
ADJ+NOUN	14	stycznia
VERB+PRON	odbywało	się
ADJ+NOUN	ważnymi	kwestiami
NOUN+ADJ	kwestiami	dotyczącymi
ADJ+NOUN	dotyczącymi	ustawy
ADP+NOUN	z	posiedzenia
VERB+NOUN	zwołuje	konferencję
ADP+NOUN	w	Sejmie
NOUN+VERB	serce	zmiękło
ADJ+NOUN	leczone	dzieci
NOUN+NOUN	roku	życia
ADP+NOUN	ze	schorzeniami
NOUN+NOUN	schorzeniami	układu
NOUN+ADJ	układu	nerwowego
ADP+NOUN	po	urazach
NOUN+ADJ	Sztab	Generalny
VERB+NOUN	dementował	adiutant
VERB+PRON	Rozpocznie	się
ADJ+NOUN	tradycyjną	mszą
NOUN+ADJ	mszą	polową
VERB+NOUN	nastąpi	część
NOUN+ADJ	część	wieńcowa
ADJ+NOUN	bogaty	program
NOUN+ADJ	program	artystyczny
ADP+NOUN	przez	lwowianina
ADP+NOUN	po	wojnie
NOUN+VERB	wojnie	osiedlił
VERB+PRON	osiedlił	się
NOUN+NOUN	brak	słów
VERB+NOUN	znajduje	pretekstów
ADP+NOUN	do	tyłu
ADP+NOUN	na	dziewczynę
VERB+NOUN	wie	pan
VERB+PRON	odwrócił	się
ADP+NOUN	z	kawiarni
ADJ+NOUN	podstawowego	składu
VERB+NOUN	kierować	sercem
NOUN+ADJ	firmy	handlujące
ADJ+NOUN	handlujące	długami
NOUN+NOUN	długami	szpitali
VERB+NOUN	zapowiedział	minister
NOUN+NOUN	minister	zdrowia
VERB+PRON	uprzytomniła	sobie
VERB+PRON	bulić	komuś
VERB+NOUN	monopolizować	rynek
NOUN+VERB	krew	zalewa
ADP+NOUN	Podczas	wystąpień
NOUN+ADJ	wystąpień	indywidualnych
VERB+NOUN	przekazał	stanowisko
ADJ+NOUN	okręgowych	izb
NOUN+ADJ	izb	lekarskich
ADJ+NOUN	tamtejsi	lekarze
VERB+NOUN	akceptują	projektu
NOUN+NOUN	projektu	ustawy
NOUN+NOUN	odwołania	minister
NOUN+ADJ	osoby	niekompetentnej
ADP+NOUN	W	papierach
ADJ+NOUN	dwukrotny	zwycięzca
ADP+NOUN	przed	spotkaniem
ADJ+NOUN	najważniejszym	elementem
ADJ+NOUN	piątkowej	potyczki
ADJ+NOUN	skuteczna	gra
ADJ+NOUN	własnym	serwisie
NOUN+VERB	pani	proponowała
VERB+NOUN	proponowała	premierowi
NOUN+ADJ	oceny	niezbędne
ADJ+NOUN	dalsze	spotkania
ADP+NOUN	przed	podpisaniem
NOUN+NOUN	podpisaniem	porozumienia
ADJ+NOUN	29	listopada
VERB+PRON	rozpocznie	się
ADJ+NOUN	3	grudnia
NOUN+ADJ	kongres	zatytułowany
NOUN+ADJ	19-latek	kupiony
VERB+PRON	zrobię	wam
VERB+NOUN	zrobię	mistrza
ADP+NOUN	na	Zachód
NOUN+VERB	reprezentację	poprowadzę
ADP+NOUN	do	sukcesów
ADP+NOUN	na	reakcję
ADP+NOUN	po	wpłaceniu
NOUN+NOUN	wpłaceniu	kaucji
ADP+NOUN	w	domu
ADJ+NOUN	cudze	łóżko
ADJ+NOUN	zakurzonych	butów
VERB+PRON	pochwalono	nas
ADP+NOUN	z	oficerów
ADJ+NOUN	poprzedniego	związku
ADP+NOUN	do	współpracy
ADJ+NOUN	nowym	przedsięwzięciu
VERB+NOUN	powiedział	Pan
ADP+NOUN	w	sprawie
ADJ+NOUN	dobry	człowiek
ADP+NOUN	w	nalewaniu
NOUN+NOUN	nalewaniu	herbaty
VERB+NOUN	pooglądała	książki
NOUN+ADJ	książki	leżące
ADJ+NOUN	starej	komodzie
VERB+NOUN	podkręciła	lampy
ADJ+NOUN	szydełkową	serwetę
ADJ+NOUN	nakryta	maszyna
ADP+NOUN	do	szycia
VERB+NOUN	przygładziła	dzieciom
ADP+NOUN	po	izbie
NOUN+NOUN	stopień	przyswojenia
NOUN+ADJ	zakres	znaczeniowy
VERB+NOUN	charakteryzują	tekst
ADP+NOUN	pod	względem
NOUN+ADJ	względem	stylowym
ADP+NOUN	W	czasie
ADP+NOUN	po	słowie
ADP+NOUN	po	zdaniu
VERB+NOUN	stanowi	przedmiot
ADJ+NOUN	niniejszego	opowiadania
VERB+NOUN	uniknąć	pokus
VERB+PRON	zamurowała	się
ADP+NOUN	w	celi
ADP+NOUN	przy	kościele
ADP+NOUN	w	miejscowości
ADP+NOUN	w	gardle
ADJ+NOUN	nagły	spadek
NOUN+NOUN	spadek	ciśnienia
ADP+NOUN	w	oddychaniu
NOUN+NOUN	bóle	brzucha
ADP+NOUN	dla	ruchu
ADP+NOUN	na	odcinku
ADJ+NOUN	całej	długości
ADP+NOUN	po	rajdzie
NOUN+NOUN	rajdzie	ulicami
NOUN+NOUN	ulicami	miasta
ADJ+NOUN	wspólne	zdjęcie
NOUN+ADJ	Artyleria	rosyjska
ADP+NOUN	z	rozmów
NOUN+ADJ	rozmów	przeprowadzanych
ADP+NOUN	pomiędzy	przedstawicielami
NOUN+NOUN	przedstawicielami	szkoły
ADP+NOUN	do	przewozu
NOUN+NOUN	przewozu	uczniów
ADJ+NOUN	zieloną	szkołę
NOUN+VERB	Przyzwoitość	każe
VERB+NOUN	szanować	gości
ADJ+NOUN	elegancki	sposób
NOUN+VERB	sposób	uszanuję
ADJ+NOUN	Jagodowe	wakacje
NOUN+PRON	zaplątanie	się
ADP+NOUN	w	gąszczu
ADJ+NOUN	własnych	idei
ADJ+NOUN	zwykłe	niechlujstwo
NOUN+ADJ	niechlujstwo	gatunkowe
NOUN+VERB	autor	próbuje
ADJ+NOUN	jednym	polu
VERB+NOUN	uprawiać	wróżenia
ADP+NOUN	z	fusów
ADP+NOUN	na	innych
NOUN+VERB	innych	zadowala
VERB+PRON	zadowala	się
ADJ+NOUN	ciemną	skórę
ADP+NOUN	Po	drodze
ADP+NOUN	do	celu
ADP+NOUN	Po	pani
ADJ+NOUN	jeden	ślad
ADP+NOUN	W	mieszkaniu
ADJ+NOUN	inny	nastrój
NOUN+NOUN	warkot	motorów
NOUN+ADJ	głosy	dobiegające
ADP+NOUN	z	ulicy
ADJ+NOUN	przewożonych	przedmiotów
NOUN+ADJ	przedmiotów	wartościowych
ADP+NOUN	o	wartości
ADP+NOUN	z	upokorzenia
ADP+NOUN	Na	wyszkolenie
ADJ+NOUN	jednego	dzika
VERB+NOUN	są	nasi
VERB+PRON	przewracała	się
ADP+NOUN	z	zażenowania
ADJ+NOUN	szczególne	złotówki
ADJ+NOUN	biały	dzień
ADP+NOUN	W	początkach
NOUN+NOUN	początkach	lat
NOUN+ADJ	lat	60
ADP+NOUN	w	badaniach
NOUN+NOUN	badaniach	opinii
NOUN+ADJ	opinii	publicznej
ADJ+NOUN	największe	sympatie
VERB+PRON	traktując	ich
NOUN+ADJ	narody	przyjazne
ADP+NOUN	w	sprawie
NOUN+NOUN	zwolnienia	inwalidów
ADP+NOUN	Za	punktualność
NOUN+NOUN	komfort	podróżowania
NOUN+NOUN	czystość	przystanków
NOUN+NOUN	Stoisko	Poczty
NOUN+ADJ	Poczty	Polskiej
NOUN+NOUN	sponsora	imprezy
ADP+NOUN	w	parku
ADP+NOUN	W	ciągu
NOUN+NOUN	większość	czasu
ADJ+NOUN	oświetlanych	pomieszczeniach
ADJ+NOUN	dwutygodniowego	urlopu
NOUN+VERB	cenę	chcemy
VERB+NOUN	nadrobić	zaległości
VERB+PRON	strzaskać	się
ADP+NOUN	na	brąz
VERB+PRON	drżą	mi
NOUN+ADJ	Lawiny	śnieżne
ADP+NOUN	Na	koniec
ADJ+NOUN	wspaniałego	dnia
NOUN+VERB	dnia	zaprosili
VERB+PRON	zaprosili	go
VERB+PRON	odwiedził	ich
ADP+NOUN	w	domu
VERB+PRON	mogą	wszyscy
ADJ+NOUN	jedyne	auto
NOUN+VERB	auto	zatrzymało
VERB+PRON	zatrzymało	się
NOUN+ADJ	Kobieta	pełna
ADJ+NOUN	pełna	ciepła
ADP+NOUN	z	łatwością
NOUN+ADJ	łatwością	zawierająca
ADJ+NOUN	zawierająca	znajomości
ADJ+NOUN	poźniejszego	rozpoczęcia
NOUN+NOUN	rozpoczęcia	sesji
ADP+NOUN	od	biznesmena
NOUN+NOUN	biznesmena	mercedesa
NOUN+NOUN	wiceprezes	sądu
NOUN+NOUN	złotych	łapówki
VERB+PRON	naśladować	kogokolwiek
ADJ+NOUN	Podchmieleni	mężczyźni
ADP+NOUN	na	temat
ADP+NOUN	w	mundurze
ADP+NOUN	z	funkcjonariuszem
ADP+NOUN	w	spódnicy
ADJ+NOUN	pozbawione	podstaw
ADP+NOUN	w	przyszłość
ADP+NOUN	na	szkółkach
ADJ+NOUN	druzgocącym	najazdom
VERB+NOUN	tracił	znaczenie
NOUN+ADJ	znaczenie	gospodarcze
ADJ+NOUN	dawny	blask
NOUN+NOUN	centrum	świata
NOUN+ADJ	świata	antycznego
ADJ+NOUN	wczesnym	średniowieczu
ADP+NOUN	na	okres
ADJ+NOUN	X	wieku
ADP+NOUN	pomiędzy	inwazją
ADJ+NOUN	ostatniej	fazy
NOUN+NOUN	fazy	wędrówki
NOUN+NOUN	wędrówki	ludów
ADP+NOUN	w	dążeniach
ADJ+NOUN	głównych	pism
NOUN+ADJ	pism	emigracyjnych
NOUN+ADJ	orientacje	światopoglądowe
VERB+PRON	spolaryzowały	się
ADJ+NOUN	1	stycznia
ADP+NOUN	od	wczoraj
ADJ+NOUN	objęte	poręczeniem
ADJ+NOUN	Bankowego	Funduszu
NOUN+ADJ	Funduszu	Gwarancyjnego
NOUN+VERB	ręce	zaplątały
VERB+PRON	zaplątały	mi
ADP+NOUN	w	tarninę
VERB+PRON	wyjmowała	mnie
ADP+NOUN	z	tarniny
ADP+NOUN	po	palcu
ADP+NOUN	po	ręce
ADP+NOUN	po	włosie
ADP+NOUN	z	właścicielem
VERB+NOUN	zapowiada	wicestarosta
NOUN+ADJ	wicestarosta	włoszczowski
ADJ+NOUN	Nowe	przepisy
VERB+NOUN	uniemożliwią	organizowanie
NOUN+NOUN	organizowanie	demonstracji
ADP+NOUN	w	wywiadzie
ADP+NOUN	z	zasady
NOUN+ADJ	szopkach	politycznych
ADP+NOUN	w	wyborach
ADP+NOUN	za	wykorzystywanie
NOUN+NOUN	wykorzystywanie	nagrań
ADP+NOUN	na	antenie
ADJ+NOUN	obecnemu	systemowi
NOUN+NOUN	systemowi	naliczania
NOUN+NOUN	naliczania	tantiem
ADP+NOUN	od	całości
NOUN+NOUN	całości	przychodów
NOUN+NOUN	przychodów	stacji
VERB+PRON	odbyć	się
ADP+NOUN	w	serii
ADJ+NOUN	porannych	głosowań
ADP+NOUN	do	grobu
VERB+NOUN	została	patronką
NOUN+NOUN	patronką	pielgrzymów
ADJ+NOUN	wolny	czas
ADP+NOUN	na	podpatrywaniu
NOUN+NOUN	podpatrywaniu	życia
NOUN+ADJ	życia	prywatnego
NOUN+NOUN	gwiazd	ekranu
ADJ+NOUN	Najszczęśliwszy	sen
ADP+NOUN	na	skałach
ADP+NOUN	obok	basenu
ADJ+NOUN	obesranym	bruku
NOUN+NOUN	bruku	zaułka
ADP+NOUN	na	śmierć
NOUN+VERB	Podmuch	obrócił
VERB+PRON	obrócił	go
