	type	first_word	first_word_lemma	first_word_id	second_word	second_word_lemma	second_word_id	full_mwe	full_mwe_lemma	sentence
29	VERB+NOUN	spędzając	spędzać	7	sen	sen	8	spędzając sen	spędzać sen	- Czyżby widmo Kwaśniewskiego krążyło nad Polską spędzając sen z oczu prawicy ? - dziwi się pan K .
30	ADP+NOUN	z	z	9	oczu	oko	10	z oczu	z oko	- Czyżby widmo Kwaśniewskiego krążyło nad Polską spędzając sen z oczu prawicy ? - dziwi się pan K .
31	ADP+NOUN	na	na	21	oczy	oko	22	na oczy	na oko	Znając tego rodzaju formuły , kabaliści mogli działać ( to znaczy pomagać białą magią lub szkodzić czarną ) , na przykład na oczy , intonując odpowiednim tonem literę Szin , w pierwszy dzień tygodnia , w godzinie panowania Jowisza , pod auspicjami Saturna , któremu w symbolice odpowiada prawe oko .
32	PART+VERB	nie	nie	15	chce	chcieć	16	nie chce	nie chcieć	W Warszawie mówi się , że zrestrukturyzowany Zakład Lotniczy , zatrudniający jedynie 1000 osób , nie chce już produkować Iryd , opierając swoją egzystencję na montażu lekkich samolotów transportowych M28 oraz rolniczych i przeciwpożarowych Dromaderów .
33	ADP+NOUN	w	w	7	oczy	oko	8	w oczy	w oko	Na ułamek sekundy znieruchomieli , patrząc sobie w oczy , i w sekundę potem przywarli do siebie .
34	PART+VERB	Nie	nie	0	wiem	wiedzieć	1	Nie wiem	nie wiedzieć	Nie wiem .
35	PART+VERB	nie	nie	1	widzę	widzieć	2	nie widzę	nie widzieć	Ale nie widzę , więc wpadam na pomysł , by zresetować swój telefon .
36	VERB+PRON	trzymają	trzymać	4	się	się	5	trzymają się	trzymać się	Na tym samym poziomie trzymają się ceny marchwi i buraków - około złotówki za kilogram .
37	VERB+PRON	Spotkał	spotkać	0	się	się	1	Spotkał się	spotkać się	Spotkał się ze stanowczą odmową .
38	ADP+NOUN	Na	na	0	koniec	koniec	1	Na koniec	na koniec	Na koniec czerwca br . wynosił bowiem 12,1 proc .
39	ADP+NOUN	w	w	10	grach	gra	11	w grach	w gra	Trzeba pamiętać , że telefonistki wydzwaniając kolejne impulsy i uczestnicząc w grach audiotele uzyskały dochód w wysokości 45 tysięcy złotych .
40	VERB+PRON	robi	robić	44	się	się	45	robi się	robić się	"U nas z kolei prace Chełmińskiego przerabia się na Chełmońskiego ( wystarczy zmienić jedną literkę ) , Kazimierza Wygrzywalskiego na Feliksa Wygrzywalskiego , Władysława Szernera jr . na ojca ( wymazując tylko "" jr "" ) , podobnie jak z prac córki Włodzimierza Tetmajera robi się obrazy taty ."
41	ADP+NOUN	w	w	4	słowach	słowo	5	w słowach	w słowo	Jeśli ja nie przebierając w słowach opowiem , co myślę o panu Niesiołowskim , to mogę wylądować w więzieniu .
42	VERB+PRON	zdecydował	zdecydować	7	się	się	8	zdecydował się	zdecydować się	Między lutym a majem 1945 r . zdecydował się los żyjącego dotąd na uboczu wojny miasta .
43	ADP+ADV	na	na	8	tyle	tyle	9	na tyle	na tyle	Musimy zdecydować , czy praca jest dla nas na tyle istotna , że traktujemy ją jako numer jeden w naszym życiu .
44	PRON+VERB	SIĘ	się	24	CHCIEĆ	chcieć	25	SIĘ CHCIEĆ	się chcieć	- MÓGŁBYM MÓGŁ BY M , GDYBYM GDYBY M CHCIAŁ , ALE KIEDY MOŻESZ WIEDZIEĆ WSZYSTKO , CO TYLKO ZECHCESZ , TO PRZESTAJE CI SIĘ CHCIEĆ .
45	PART+PART	i	i	7	to	to	8	i to	i to	Chyba właśnie dlatego wygraliśmy wygrali śmy , i to z takimi sławami , specami od żydowskich muzeów i pomników , jak Daniel Libeskind czy Peter Eisenman .
46	PART+VERB	nie	nie	14	ma	mieć	15	nie ma	nie mieć	Mogę się tylko domyślać , że jeśli to byli czołowi youtuberzy – a tu nie ma innych – to nigdy nie zjadali własnych ciasteczek .
47	NOUN+ADJ	rzutów	rzut	7	karnych	karny	8	rzutów karnych	rzut karny	- Czy nie było Panu ciężko oglądać rzutów karnych jako rezerwowy ?
48	PART+VERB	nie	nie	5	robił	robić	6	nie robił	nie robić	Obecny minister finansów oczywiście nic nie robił w tej sprawie .
49	PART+VERB	Nie	nie	1	wiecie	wiedzieć	2	Nie wiecie	nie wiedzieć	- Nie wiecie , dokąd poszła ?
50	VERB+PRON	deklarował	deklarować	2	się	się	3	deklarował się	deklarować się	I choć deklarował się jako niewierzący , to jednak z sympatii do nas wybrał się kiedyś na Mszę świętą , mimo że – jak mówił – nie był w kościele od ponad dziesięciu lat .
51	PART+VERB	Nie	nie	7	chcemy	chcieć	8	Nie chcemy	nie chcieć	Po kilku minutach uczniowie stwierdzają : - Nie chcemy , żeby mieszkali w Laskach .
52	PART+VERB	nie	nie	2	wiem	wiedzieć	3	nie wiem	nie wiedzieć	- Naprawdę nie wiem , o co tu chodzi - mówił zirytowany .
53	ADP+PRON	o	o	5	co	co	6	o co	o co	- Naprawdę nie wiem , o co tu chodzi - mówił zirytowany .
54	ADP+NOUN	na	na	10	ręce	ręka	11	na ręce	na ręka	Andrzej Chronowski , dotychczasowy minister skarbu , złożył wczoraj dymisję na ręce premiera .
55	VERB+PRON	lała	lać	17	się	się	18	lała się	lać się	Przypominamy : chodzi tu o wydatki ponoszone każdego dnia po to , żeby każdego dnia w Wietnamie lała się krew i ginęli ludzie .
56	ADP+NOUN	w	w	9	czasie	czas	10	w czasie	w czas	- Teraz będę bez problemu puszczać sygnały do kolegi w czasie lekcji - cieszy się chłopak .
57	PART+VERB	nie	nie	2	ma	mieć	3	nie ma	nie mieć	Barku chyba nie ma , to błąd .
58	ADP+PRON	O	o	0	co	co	1	O co	o co	O co mi chodziło , to o rozreklamowanie owych filmów i wielkie oczekiwania wobec nich w kategoriach rozrywkowych napompowane do granic przyzwoitości przez media .
59	ADP+NOUN	w	w	12	gardłach	gardło	13	w gardłach	w gardło	Gawrony kraczą jak opętane , ochryple , jakby coś rozdzierało im się w gardłach .
60	PART+VERB	nie	nie	25	wiem	wiedzieć	26	nie wiem	nie wiedzieć	Tak dywagujemy sobie o tym że Polska to Polska tamto , ale wobec braku zagrożenia ze strony Zakonu na północ od Mazowsza i Kujaw , nie wiem czy byłby był by wygenerowany impuls zjednoczeniowy , a jeśli tak to pewnie nie wokół Piastów kujawskich . . .
61	PART+VERB	nie	nie	2	wie	wiedzieć	3	nie wie	nie wiedzieć	Pani Zyta nie wie , że Włosi dawno mają domy społecznie budowane z niższym VAT-em i UE nie wnosi do tego żadnych pretensji ?
62	PART+VERB	nie	nie	1	chcesz	chcieć	2	nie chcesz	nie chcieć	Jeśli nie chcesz biegać , pływać czy grać w piłkę - umyj okna , skoś trawę na działce , posprzątaj piwnicę .
63	VERB+PRON	zebrały	zebrać	2	się	się	3	zebrały się	zebrać się	Gdy dziewczęta zebrały się w sali szkolnej , wyjaśniła krótko : - Zdałyśmy Zdały śmy egzamin na ćwiczeniach .
64	PART+VERB	nie	nie	14	chcę	chcieć	15	nie chcę	nie chcieć	- Ze względu na lojalność wobec kolegi przyznaję się do zabójstwa Kariny , bo nie chcę go wrobić w mord , którego nie popełnił - wyznał sądowi Tomasz S .
65	ADJ+NOUN	dalszym	daleki	20	ciągu	ciąg	21	dalszym ciągu	daleki ciąg	Jej stan prezydent ocenił generalnie jako bardzo dobry , podkreślając m.in . spadek bezrobocia i oznajmił , że Rosja w dalszym ciągu będzie spłacać przedterminowo swe zagraniczne zadłużenie .
66	PART+VERB	nie	nie	22	miał	mieć	23	nie miał	nie mieć	Oczywiście , można się mimo to upierać , że powołując postać Biegańskiego Styron zbłaźnił się jako pisarz , bo przecie Cybichowski córki nie miał .
67	PART+VERB	nie	nie	12	chce	chcieć	13	nie chce	nie chcieć	A oto końcowy fragment wypowiedzi przedstawiciela kierownictwa innego młyna : - Państwo nie chce lub nie potrafi regulować rynku zbóż .
68	CCONJ+PRON	i	i	3	to	to	4	i to	i to	– Analizujemy dowody i to , jaki członkowie zarządu mieli wpływ na niegospodarne decyzje – mówi Zieliński .
69	ADP+NOUN	w	w	10	oczy	oko	11	w oczy	w oko	- W Paryżu - powiedział tamten , patrząc mu prosto w oczy - najlepsze kasztany są na placu Pigalle .
70	ADP+NOUN	W	w	0	czasach	czas	1	W czasach	w czas	W czasach Platona , sztuką było też rzemiosło , które spełniało kryterium umiejętnego wytwarzania .
71	ADP+NOUN	na	na	16	cele	cel	17	na cele	na cel	"Lider Samoobrony zapowiedział , że poda do sądu tygodnik "" Wprost "" , żądając miliona złotych na cele charytatywne ."
72	ADP+NOUN	z	z	3	ziemi	ziemia	4	z ziemi	z ziemia	Strażnicy podnieśli Ilię z ziemi , odkneblowali usta .
73	PART+VERB	nie	nie	3	ma	mieć	4	nie ma	nie mieć	Oświadczył , że nie ma warunków dla uroczystego otwarcia Cmentarza Orląt Lwowskich w najbliższy wtorek .
74	ADP+NOUN	w	w	3	roli	rola	4	w roli	w rola	Debiutująca za oceanem w roli szefa rządu Angela Merkel wykazała dużą pewność siebie .
75	VERB+PRON	spotkać	spotkać	28	się	się	29	spotkać się	spotkać się	Jak w miarę sprawnie i szybko odwiedzić Szwajcarię Indochin - Bangkok , zajrzeć na targ wodny gdzie za grosze można zakupić mniej , lub bardziej egzotyczne owoce , spotkać się z Czerwonymi Khmerami i spojrzeć w oczy Buddzie z siódmego nieba ?
76	ADP+NOUN	w	w	35	oczy	oko	36	w oczy	w oko	Jak w miarę sprawnie i szybko odwiedzić Szwajcarię Indochin - Bangkok , zajrzeć na targ wodny gdzie za grosze można zakupić mniej , lub bardziej egzotyczne owoce , spotkać się z Czerwonymi Khmerami i spojrzeć w oczy Buddzie z siódmego nieba ?
77	ADP+NOUN	na	na	14	stanowisku	stanowisko	15	na stanowisku	na stanowisko	Siemkowicz prostuje : - To było 25 listopada , w piątym dniu mojej pracy na stanowisku komendanta .
78	ADJ+PRON	składające	składać	9	się	się	10	składające się	składać się	"Niemniej jednak należy pamiętać , że "" wszystkie elementy składające się na środowisko nie istnieją w izolacji i są ze sobą ściśle sprzężone "" ."
79	ADP+PRON	ze	z	19	sobą	siebie	20	ze sobą	z siebie	"Niemniej jednak należy pamiętać , że "" wszystkie elementy składające się na środowisko nie istnieją w izolacji i są ze sobą ściśle sprzężone "" ."
80	PART+VERB	Nie	nie	0	ma	mieć	1	Nie ma	nie mieć	Nie ma wyzwolenia .
81	ADP+PRON	w	w	22	sobie	siebie	23	w sobie	w siebie	"Okres andrzejkowych wróżb jest takim właśnie okresem , gdzie każdy może sobie pozwolić na dojście do głosu tego "" pierwotnego człowieka "" w sobie , bez obaw , że zostanie to źle przyjęte . . ."
82	PART+VERB	nie	nie	3	widział	widzieć	4	nie widział	nie widzieć	Niestety , nikt nie widział złodziei .
83	ADP+PRON	o	o	22	czym	co	23	o czym	o co	Nie kusząc się o rozstrzyganie tej złożonej sprawy technicznej , trzeba stwierdzić , że zaważyła ona ujemnie na polskim udziale festiwalowym , o czym będzie mowa później .
84	ADP+ADJ	na	na	15	dobre	dobry	16	na dobre	na dobry	Trudno będzie uwinąć się w tym roku z sadzeniem do końca maja , kiedy tak na dobre ruszy wegetacja w górach - martwi się Władysław Budzyn , nadleśniczy Nadleśnictwa Komańcza .
85	PART+VERB	Nie	nie	0	chciał	chcieć	1	Nie chciał	nie chcieć	Nie chciał mieć krowy .
86	ADP+NOUN	w	w	9	oczy	oko	10	w oczy	w oko	Toteż śmiecie , prószące mi stale na głowę i w oczy , jest o wiele mniej dokuczliwe od tego , które sypało się na mnie na barży .
87	PART+VERB	nie	nie	1	masz	mieć	2	nie masz	nie mieć	Jak nie masz nic do powiedzenia , to nie pisz , świat nie zubożeje od tego .
88	PART+VERB	nie	nie	4	ma	mieć	5	nie ma	nie mieć	- W naszej drużynie nie ma gwiazd , potrzebni są ludzie nieprawdopodobnie zaangażowani w grę .
89	ADP+NOUN	w	w	13	grę	gra	14	w grę	w gra	- W naszej drużynie nie ma gwiazd , potrzebni są ludzie nieprawdopodobnie zaangażowani w grę .
90	PART+VERB	nie	nie	4	wiem	wiedzieć	5	nie wiem	nie wiedzieć	Ja nic o tym nie wiem .
91	PART+VERB	nie	nie	1	wiem	wiedzieć	2	nie wiem	nie wiedzieć	Choćby nie wiem jak bardzo niewyczerpane były pasje i żądze - ślubuję je ugasić .
92	CCONJ+PRON	i	i	5	to	to	6	i to	i to	Zastanowiła ją realność hotelowej łazienki i to , że wydarzenia sprzed sześciu lat wróciły do niej z taką wyrazistością .
93	PART+VERB	nie	nie	5	miał	mieć	6	nie miał	nie mieć	Bynajmniej nie dlatego , żeby nie miał albo miał złych rodziców , przeciwnie , cała rodzina była ze sobą silnie związana , a on pozostał teraz jako jedyny w domu .
94	ADP+PRON	ze	z	17	sobą	siebie	18	ze sobą	z siebie	Bynajmniej nie dlatego , żeby nie miał albo miał złych rodziców , przeciwnie , cała rodzina była ze sobą silnie związana , a on pozostał teraz jako jedyny w domu .
95	PART+VERB	nie	nie	3	wiem	wiedzieć	4	nie wiem	nie wiedzieć	Choćbyś Choćby ś nie wiem jak się opierała , musisz , ptaszeczku , musisz !
96	ADP+NOUN	Na	na	0	koniec	koniec	1	Na koniec	na koniec	Na koniec zacieramy ślady .
97	PART+VERB	Nie	nie	3	ma	mieć	4	Nie ma	nie mieć	"Yueshan : "" Nie ma nawet miejsca na wetknięcie szpilki "" ."
98	ADP+NOUN	na	na	21	stanowiskach	stanowisko	22	na stanowiskach	na stanowisko	"Na swoją korzyść Lech Wałęsa interpretował przepis mówiący o tym , iż prezydent na wniosek premiera "" może dokonywać "" zmian na stanowiskach ministrów ; jeśli może , to znaczy , że nie musi ."
99	ADP+NOUN	w	w	3	oczy	oko	4	w oczy	w oko	- Patrzy Hansowi w oczy i widać , że waży troskliwie podpływające do ust słowa .
100	ADP+NOUN	w	w	4	czasie	czas	5	w czasie	w czas	NIK podkreśla , że w czasie prywatyzacji AWRSP następowało pogorszenie sytuacji ekonomicznej Polski .
101	PART+VERB	nie	nie	2	ma	mieć	3	nie ma	nie mieć	W sztuce nie ma nic bardziej żywotnego od martwej natury przedmiotów .
102	PART+VERB	nie	nie	5	miała	mieć	6	nie miała	nie mieć	Znów się zawahała , ale nie miała przecież nic do ukrycia .
103	PART+VERB	nie	nie	4	dały	dać	5	nie dały	nie dać	Wicemistrzynie Polski z Mielca nie dały pograć w Krakowie Wiśle i opuściły ostatnie miejsce w tabeli właśnie na rzecz podopiecznych Lesława Kędryny .
104	PART+VERB	nie	nie	10	ma	mieć	11	nie ma	nie mieć	- Próbowałem Próbował em wytłumaczyć tym panom , że już nie ma miejsc na dzisiejszy występ . . . - piszczał pikolak , podnosząc swoją czapkę .
105	VERB+NOUN	ma	mieć	11	miejsc	miejsce	12	ma miejsc	mieć miejsce	- Próbowałem Próbował em wytłumaczyć tym panom , że już nie ma miejsc na dzisiejszy występ . . . - piszczał pikolak , podnosząc swoją czapkę .
106	VERB+PRON	spotkać	spotkać	2	się	się	3	spotkać się	spotkać się	Trzeba też spotkać się z fachowcami , uzyskać pozwolenia , odbyć konsultacje .
107	PART+VERB	Nie	nie	0	chcemy	chcieć	1	Nie chcemy	nie chcieć	Nie chcemy , by ktokolwiek kwestionował twoją wartość jako pracownika z zupełnie innych powodów niż zawodowe .
108	PART+VERB	nie	nie	2	robić	robić	3	nie robić	nie robić	Możesz również nie robić nic , tylko patrzeć .
109	PART+VERB	nie	nie	6	wiedząc	wiedzieć	7	nie wiedząc	nie wiedzieć	Dziwnie było iść białymi korytarzami , nie wiedząc , dokąd prowadzą .
110	PART+VERB	nie	nie	9	mam	mieć	10	nie mam	nie mieć	Odparłem Odparł em im : proszę panów , ja nie mam tu żadnych osobistych rzeczy .
111	PART+VERB	nie	nie	4	wiem	wiedzieć	5	nie wiem	nie wiedzieć	Potem mówię , że nie wiem , dlaczego tak się dzieje .
112	PART+PART	i	i	10	to	to	11	i to	i to	Rodzinne przeszczepy nerki do tej pory przeprowadzano w Polsce sporadycznie i to jedynie w dwóch ośrodkach : w Warszawie i w Poznaniu .
113	ADP+PRON	ze	z	21	sobą	siebie	22	ze sobą	z siebie	Dzieci bardzo chętnie „ dojadają ” tym chlebkiem , a panie dyżurujące na stołówce twierdzą , sporo z nich zabiera nawet ze sobą kilka pajd chleba .
114	ADP+NOUN	z	z	4	głowy	głowa	5	z głowy	z głowa	- Jemu ciekła krew z głowy - mówią świadkowie .
115	PART+VERB	Nie	nie	0	robimy	robić	1	Nie robimy	nie robić	Nie robimy z tego tajemnicy .
116	PART+VERB	nie	nie	10	dał	dać	11	nie dał	nie dać	Następnie hospitalizował się podając jako powód bóle nerek , ale nie dał się zbadać .
117	VERB+PRON	dał	dać	11	się	się	12	dał się	dać się	Następnie hospitalizował się podając jako powód bóle nerek , ale nie dał się zbadać .
118	ADP+DET	na	na	16	tyle	tyle	17	na tyle	na tyle	Powiedziałbym Powiedział by m , że ich rola jest formalna i głos pracowników nie przebija się na tyle , na ile zasługuje .
119	NOUN+NOUN	akt	akt	6	oskarżenia	oskarżenie	7	akt oskarżenia	akt oskarżenie	W tej sprawie krakowska prokuratura przygotowuje akt oskarżenia .
120	ADP+NOUN	w	w	5	czasie	czas	6	w czasie	w czas	Moje pokolenie , to uformowane w czasie dwudziestoletniej niepodległości , już się wykrusza , lecz także i wiele pojęć się wykrusza : państwo , ojczyzna , poświęcenie dla narodu , nawet wiara , którą politycznymi spekulacjami stoczono , jak czerwie toczą drewno dębu .
121	PART+VERB	nie	nie	14	ma	mieć	15	nie ma	nie mieć	- Jeżeli nie zapłacimy Masterowi za pokazanie się na ekranie , to nas tam nie ma .
122	ADJ+PRON	dającej	dawać	13	się	się	14	dającej się	dawać się	Futurologowie snują , co prawda , rozważania o możliwości wskrzeszenia człowieka w nie dającej się określić przyszłości , pod warunkiem , że dzięki specjalnej technologii zamrozi się ciało , ale nie może to przesłonić faktu , że w naszym wieku śmierć jakby potaniała i zbanalizowała się .
123	ADP+PRON	za	za	4	sobą	siebie	5	za sobą	za siebie	W pewnej chwili słyszy za sobą szybki jazgot peema .
124	PART+VERB	nie	nie	1	chce	chcieć	2	nie chce	nie chcieć	PiS nie chce się zajmować bezrobociem , wyrównywaniem szans w dostępie do edukacji , służby zdrowia czy rozwarstwieniem społecznym , a zamiast tego funduje nam komisję bankową .
125	ADP+NOUN	w	w	23	żyle	żyła	24	w żyle	w żyła	Następnie rozłożyła wysoki statyw , zawiesiła na nim pudełko , przeprowadziła od niego przezroczysty przewód do igły , którą wcześniej automatyczny iniektor umieścił w żyle na przedramieniu Irka .
126	VERB+PRON	daje	dawać	7	się	się	8	daje się	dawać się	Zwierzę polubiło piwko i bez kufla nie daje się wydoić .
127	PART+VERB	nie	nie	12	chcą	chcieć	13	nie chcą	nie chcieć	Rosja początkowo boczyła się na to , że Amerykanie zrywają traktat i nie chcą podpisywać jakichkolwiek wspólnych uzgodnień o redukcji broni nuklearnej .
128	ADP+ADV	na	na	7	tyle	tyle	8	na tyle	na tyle	W pewnym oddaleniu od dworu , ale na tyle blisko , by można było tam w każdej chwili zajrzeć , znajdowały się zabudowania gospodarcze , czyli stajnie , owczarnie , obory , chlewy i kurniki , dalej pomieszczenia do przechowywania plonów i inne przeznaczone na maszyny rolnicze , warsztaty , mieszkania pracowników i wozownie .
129	PART+VERB	nie	nie	19	chce	chcieć	20	nie chce	nie chcieć	Ile będzie tych komputerów , ile będą kosztować i kto je dostanie - na razie polski potentat telefoniczny zdradzić nie chce .
130	ADP+PRON	w	w	12	sobie	siebie	13	w sobie	w siebie	I nawet teraz , po tylu gorzkich doświadczeniach , nie potrafi wzbudzić w sobie nienawiści do tego oprawcy .
131	ADP+NOUN	w	w	22	czasie	czas	23	w czasie	w czas	Pojechałem Pojechał em w tej sprawie do Bieruta i tłumaczyłem tłumaczył em , że Moczarski - niezależnie od pracy , którą wykonywał w czasie okupacji - jest przyzwoitym człowiekiem .
132	PART+PART	i	i	7	to	to	8	i to	i to	Wtedy okazało się , że niesolidnym klientem i to całkiem innego banku , była znajoma Bączyków , której pan Rajmund żyrował pożyczkę .
133	PART+VERB	nie	nie	7	robię	robić	8	nie robię	nie robić	A teraz ja tu jestem sam i nie robię żadnej z tych rzeczy , o których tyle mówiliśmy mówili śmy ; między innymi dlatego , że nie mam gitary - zaśmiał się śmiechem , który nie budził we mnie żadnego echa .
134	PART+VERB	nie	nie	26	mam	mieć	27	nie mam	nie mieć	A teraz ja tu jestem sam i nie robię żadnej z tych rzeczy , o których tyle mówiliśmy mówili śmy ; między innymi dlatego , że nie mam gitary - zaśmiał się śmiechem , który nie budził we mnie żadnego echa .
135	ADP+NOUN	w	w	1	czasie	czas	2	w czasie	w czas	Charczew w czasie całej rozmowy mówił po rosyjsku , ale , jak twierdzi Wasiłowski , sprawiał wrażenie , że rozumie język polski .
136	PART+VERB	nie	nie	9	ma	mieć	10	nie ma	nie mieć	To postawa seksualnej anarchii , która uznaje , że nie ma w dziedzinie życia seksualnego niczego , co mogłoby mogło by zostać uznane za amoralne .
137	PART+VERB	nie	nie	1	wiedziało	wiedzieć	2	nie wiedziało	nie wiedzieć	Żadne nie wiedziało .
