mwe_type	first_word	first_word_id	second_word	second_word_id	mwe	sentence	is_correct	dataset_type	complete_mwe_in_sent	prediction
VERB+NOUN	miał	1	uczucie	2	miał uczucie	Rzeczywiście miał uczucie jakby ta katastrofa dotyczyła jego samego osobiście .	1	test	1	1
ADJ+NOUN	biorący	11	oddech	12	biorący oddech	W sztuce miecza faza oddechu jest bardzo ważna , bo szermierz biorący oddech jest wtedy najsłabszy .	1	test	1	0
NOUN+PROPN	prowadzenie	31	postępowania	32	prowadzenie postępowania	Lubelska Prokuratura Apelacyjna zarzuca mu , że w grudniu zniszczył wiele dokumentów z dyrektorskiego sejfu i usunął ważne zapisy z komputera w sekretariacie , przez co zatarł ślady i utrudnił prokuraturze prowadzenie postępowania .	1	test	1	0
PRON+VERB	sobie	5	wyobrazić	6	sobie wyobrazić	A zupełnie już nie mogła sobie wyobrazić , co będzie potem .	1	test	1	1
VERB+PRON	zrobiło	1	się	2	zrobiło się	Pismo zrobiło się powyginane , litery zachodziły na siebie , jakby Kazimierz pisał po ciemku .	1	test	1	1
VERB+PRON	Bawiąc	0	się	1	Bawiąc się	Bawiąc się w salonie z Jurkiem Łobzowskim , zaczepił em kiedyś rękawicą bokserską o lep na muchy .	1	test	1	1
VERB+PRON	poczuła	10	się	11	poczuła się	Liz pociągnęła z niej kilka łyków i po 10 minutach poczuła się jakoś dziwnie .	1	test	1	1
VERB+PRON	ukazały	3	się	4	ukazały się	Wspomnienia byłej niani ukazały się tylko w części nakładu gazety , który zdążono wydrukować , nim oficjalny zakaz trafił do wydawnictwa .	1	test	1	1
VERB+PRON	przedzieram	1	się	2	przedzieram się	Powoli przedzieram się przez błocko , gdy mija mnie radośnie świergoląc , grupa lekkostopych , eleganckich , wesołych , niemieckich turystów .	1	test	1	1
VERB+NOUN	wydał	3	decyzję	4	wydał decyzję	Dyrektor łańcuckiego ZOZ-u wydał decyzję , na mocy której pacjenci Przychodni Rejonowej i Szpitala Rejonowego nie mogą parkować przy tych placówkach swoich aut .	1	test	1	1
VERB+NOUN	straciła	7	przytomność	8	straciła przytomność	Chciała usiąść i odpocząć , ale nagle straciła przytomność .	1	test	1	1
VERB+PRON	zdarzają	9	się	10	zdarzają się	MALEZJA : Napady na łodzie rybackie w tym kraju zdarzają się tak często , że rybacy nie wypływają w morze inaczej niż w dużej grupie .	1	test	1	1
VERB+PRON	spierała	2	się	3	spierała się	Najpierw prawica spierała się o to , jaka ma być .	1	test	1	1
VERB+PRON	Okazało	0	się	1	Okazało się	Okazało się wówczas , iż od dwu lat sądu nikt nie dozoruje , zdjęto także sygnalizację alarmową .	1	test	1	1
VERB+NOUN	wykonano	1	reperację	2	wykonano reperację	Dodatkowo wykonano reperację posadzek świątyni dla ułatwienia zwiedzania .	1	test	1	0
NOUN+PRON	zorientowanie	17	się	18	zorientowanie się	Wszystko po to , aby zapewnić wysoki standard przejrzystości ( transparencji ) , umożliwiający świadome i racjonalne zorientowanie się w bogactwie oferty i dokonanie stosownego wyboru .	1	test	1	1
VERB+PRON	wydaje	14	się	15	wydaje się	Z drugiej jednak strony teza o kryzysie jako głównym czynniku wzrostu popularności prawicy także wydaje się po części wątpliwa .	1	test	1	1
VERB+NOUN	miały	2	wykształcenie	3	miały wykształcenie	Pozostałe dwie miały wykształcenie pedagogiczne i ukończone kursy zaledwie z wybranych kierunków psychoterapii , a jedna to była nauczycielka , która we własnym zakresie szkoliła się z psychologii alternatywnej .	1	test	1	0
VERB+PRON	znajduje	15	się	16	znajduje się	W każdym z tych miast buduje się przed zawodami specjalny betonowy postument , na którym znajduje się ring o średnicy pięciu metrów .	1	test	1	1
VERB+PRON	pojawił	14	się	15	pojawił się	Pierwsze i jedyne w województwie krematorium miało być zlokalizowane na cmentarzu Łostowickim , potem pojawił się projekt ulokowania go na cmentarzu w Pierwoszynie .	1	test	1	1
NOUN+ADJ	umową	17	zawartą	18	umową zawartą	"Poza tym , przeznaczono 20000 złotych na wydawanie miesięcznika "" List do PANI "" , zgodnie z umową zawartą z Polskim Związkiem Kobiet Katolickich , i 115600 na wydrukowanie książki "" Raport o sytuacji polskich rodzin "" , na podstawie umowy zawartej z Wydawnictwem Sióstr Loretanek ."	1	test	1	0
NOUN+ADJ	umowy	40	zawartej	41	umowy zawartej	"Poza tym , przeznaczono 20000 złotych na wydawanie miesięcznika "" List do PANI "" , zgodnie z umową zawartą z Polskim Związkiem Kobiet Katolickich , i 115600 na wydrukowanie książki "" Raport o sytuacji polskich rodzin "" , na podstawie umowy zawartej z Wydawnictwem Sióstr Loretanek ."	1	test	1	0
VERB+NOUN	ma	1	problem	2	ma problem	Wojciech ma problem z samookreśleniem się .	1	test	1	1
NOUN+PRON	samookreśleniem	4	się	5	samookreśleniem się	Wojciech ma problem z samookreśleniem się .	1	test	1	0
VERB+NOUN	miał	1	siłę	2	miał siłę	Wstrząs miał siłę 6,8 stopni w skali Richtera , o stopień mniej niż w wielkim wstrząsie sprzed czterech lat , który pochłonął 2,4 tys . ofiar .	1	test	1	0
VERB+PRON	okazuje	3	się	4	okazuje się	Wbrew słowom rzecznika okazuje się więc , że klienci jednak stracą .	1	test	1	1
VERB+PRON	pojawił	15	się	16	pojawił się	Adwokaci głowy państwa doręczyli dowody mające świadczyć , że ich klient wyjechał z Cetniewa zanim pojawił się tam Ałganow .	1	test	1	1
VERB+NOUN	uległ	2	przeobrażeniom	3	uległ przeobrażeniom	Także tekst uległ przeobrażeniom .	1	test	1	0
VERB+PRON	znaleźli	2	się	3	znaleźli się	Po chwili znaleźli się w podziemiach domu .	1	test	1	1
VERB+PRON	pojawiła	5	się	6	pojawiła się	Po naszym telefonie na miejscu pojawiła się policja , by ocenić , czy jest to krzew znajdujący się na liście zakazanych używek halucynogennych .	1	test	1	1
ADJ+PRON	znajdujący	16	się	17	znajdujący się	Po naszym telefonie na miejscu pojawiła się policja , by ocenić , czy jest to krzew znajdujący się na liście zakazanych używek halucynogennych .	1	test	1	1
VERB+PRON	znajdowały	29	się	30	znajdowały się	Talibańska policja religijna , nazwana w duchu Orwella Wydziałem Propagowania Cnót , wydała sędziom koranicznym pięciu mężczyzn , którzy zgrzeszyli tym , że przebywali w pewnym budynku , gdy znajdowały się tam także - w innym pomieszczeniu - obce dla nich kobiety .	1	test	1	1
ADJ+PRON	chwalący	8	się	9	chwalący się	Zapominają o tym politycy Prawa i Sprawiedliwości , chwalący się , że to dzięki rządowi Kazimierza Marcinkiewicza pęcznieją portfele emerytów .	1	test	1	1
VERB+PRON	obawiając	7	się	8	obawiając się	Uciekają przed wojną lub przed prześladowaniami , obawiając się , iż zostaną uwięzieni , będą torturowani lub straceni .	1	test	1	1
VERB+PRON	obawiają	2	się	3	obawiają się	Opolscy ciepłownicy obawiają się , że ich straty w pierwszych miesiącach nowego roku mogą się okazać horrendalne , bo na podwyżkę ceny węgla nałożyła się także wyjątkowo łagodna zima , która zmniejszyła zapotrzebowanie na ciepło .	1	test	1	1
PRON+VERB	się	14	okazać	15	się okazać	Opolscy ciepłownicy obawiają się , że ich straty w pierwszych miesiącach nowego roku mogą się okazać horrendalne , bo na podwyżkę ceny węgla nałożyła się także wyjątkowo łagodna zima , która zmniejszyła zapotrzebowanie na ciepło .	1	test	1	1
VERB+PRON	zajmą	1	się	2	zajmą się	Radni zajmą się przyjęciem uchwały , zwalniającej z części podatku od nieruchomości właścicieli kamienic położonych w centrum , jeśli zdecydują się wyremontować elewacje .	1	test	1	1
NOUN+NOUN	przyjęciem	3	uchwały	4	przyjęciem uchwały	Radni zajmą się przyjęciem uchwały , zwalniającej z części podatku od nieruchomości właścicieli kamienic położonych w centrum , jeśli zdecydują się wyremontować elewacje .	1	test	1	0
VERB+PRON	zdecydują	19	się	20	zdecydują się	Radni zajmą się przyjęciem uchwały , zwalniającej z części podatku od nieruchomości właścicieli kamienic położonych w centrum , jeśli zdecydują się wyremontować elewacje .	1	test	1	1
PRON+VERB	się	1	gnieść	2	się gnieść	Mam się gnieść wśród tylu osób ?	1	test	1	0
VERB+PRON	pojawił	4	się	5	pojawił się	Po nim na górze pojawił się Tomasz Kobielski ( 32 l . ) .	1	test	1	1
NOUN+NOUN	zawracania	28	głowy	29	zawracania głowy	"- W pańskim komentarzu umieszczonym we wkładce płyty "" Spod chmury kapelusza "" "" czytamy m.in . : "" Spokorniałem Spokorniał em i nie męczy mnie głód awangardowego zawracania głowy "" ."	1	test	1	0
VERB+PRON	Okazało	0	się	1	Okazało się	Okazało się , że ostatni dzień eliminacji a przedostatni Pucharu Mazowsza w koszykówce mężczyzn był ciekawszy , niż można było przewidywać .	1	test	1	1
VERB+PRON	okazała	4	się	5	okazała się	Zdaniem sędziego , najpiękniejsza okazała się właśnie Polka .	1	test	1	1
ADJ+PROPN	zawarte	2	porozumienie	3	zawarte porozumienie	Nie zostało zawarte porozumienie o sukcesji po Związku Radzieckim w realizacji porozumień międzynarodowych , nie było zgody co do aktywów i pasywów ZSRR za granicą i archiwów państwowych .	1	test	1	0
VERB+PRON	ukazała	1	się	2	ukazała się	Książka ukazała się w sierpniu br . , w przeddzień odsłonięcia pomnika poświęconego ofiarom .	1	test	1	1
VERB+NOUN	Ma	0	żal	1	Ma żal	Ma żal do dziennikarzy , że szkalują jego szkołę .	1	test	1	0
VERB+PRON	znalazły	17	się	18	znalazły się	Po tym , jak konsorcjum BIG Bank Gdański - Eureko zainwestowało w PZU , pod jedną egidą znalazły się Otwarty Fundusz Emerytalny EGO i Złota Jesień .	1	test	1	1
VERB+PRON	Zastanawiał	0	się	1	Zastanawiał się	Zastanawiał się chwilę i lojalnie przyznał : - Mają rację .	1	test	1	1
VERB+NOUN	Mają	8	rację	9	Mają rację	Zastanawiał się chwilę i lojalnie przyznał : - Mają rację .	1	test	1	0
VERB+NOUN	ma	2	urlop	3	ma urlop	Leszek Balcerowicz ma urlop .	1	test	1	0
VERB+PRON	zastanawia	1	się	2	zastanawia się	Więc zastanawia się nad pochodzeniem i nad tym , jak ono powstaje i jak rzeczywistość wyłania się z iluzji .	1	test	1	1
VERB+PRON	wyłania	15	się	16	wyłania się	Więc zastanawia się nad pochodzeniem i nad tym , jak ono powstaje i jak rzeczywistość wyłania się z iluzji .	1	test	1	1
VERB+PRON	sprzeciwiały	2	się	3	sprzeciwiały się	Określeniu daty sprzeciwiały się otwarcie Francja , Hiszpania i Finlandia .	1	test	1	1
VERB+PRON	Pojawiają	0	się	1	Pojawiają się	Pojawiają się informacje , że wiele elektrowni nuklearnych w krajach byłego ZSRR nie jest przygotowanych na zagrożenie milenijną pluskwą .	1	test	1	1
VERB+PRON	staje	3	się	4	staje się	Teraz to wszystko staje się naprawdę , doczekał się Stefan Chmura Piaskowej Góry .	1	test	1	1
VERB+PRON	doczekał	7	się	8	doczekał się	Teraz to wszystko staje się naprawdę , doczekał się Stefan Chmura Piaskowej Góry .	1	test	1	1
VERB+NOUN	prowadzi	6	śledztwo	7	prowadzi śledztwo	Komenda Powiatowa Policji w Starogardzie Gdańskim prowadzi śledztwo w sprawie rozboju na mieszkance Starogardu i poszukuje sprawcy tego przestępstwa .	1	test	1	1
VERB+PRON	uwinęli	3	się	4	uwinęli się	Drogowcy na szczęście uwinęli się z nim bardzo szybko .	1	test	1	1
VERB+NOUN	poddano	1	operacji	2	poddano operacji	Poszkodowanego poddano operacji w miejscowym szpitalu .	1	test	1	1
VERB+PRON	powołują	8	się	9	powołują się	Sądy wydają w ich sprawach sprzeczne wyroki i powołują się na nieaktualne przepisy .	1	test	1	1
VERB+PRON	udało	1	się	2	udało się	Jak udało się nam ustalić , żwirownia ma nowego właściciela .	1	test	1	1
VERB+PRON	zajmował	9	się	10	zajmował się	Przyjmował on i sprawdzał relacje szpiegów i donosicieli , zajmował się też badaniem - tymi właśnie metodami - opinii publicznej .	1	test	1	1
VERB+NOUN	wydaje	35	polecenia	36	wydaje polecenia	Widok to niezapomniany , kiedy bardzo młody , niski chłopak , w hełmie na głowie salutuje do sędziego zawodów , meldując gotowość zespołu do odbycia musztry , a następnie najgłośniej , jak tylko może , wydaje polecenia swoim o głowę wyższym kolegom z drużyny .	1	test	1	0
VERB+PRON	znajdą	9	się	10	znajdą się	Dyrekcja ma też nadzieję , że w przyszłym roku znajdą się kolejne fundusze na ukończenie całego przedsięwzięcia .	1	test	1	1
VERB+PRON	pojawia	15	się	16	pojawia się	"W napisach zamiast żeńskiej formy "" była m "" , "" zrobiła m "" - pojawia się męska forma "" był em "" , "" zrobił em "" ."	1	test	1	1
VERB+PRON	zdziwił	7	się	8	zdziwił się	- Co to za pieniądze ? - zdziwił się .	1	test	1	1
VERB+NOUN	spowoduje	21	zmniejszenie	22	spowoduje zmniejszenie	Osiągnięcie przychodu w wysokości przekraczającej kwotę 1467,10 , nie wyższej jednak niż 2724,60 zł ( 130 proc . przeciętnego wynagrodzenia ) spowoduje zmniejszenie emerytury lub renty .	1	test	1	0
VERB+PRON	stać	15	się	16	stać się	"Francusko - polska spółka Hachette Wydawcy Prasy podtrzymuje "" zobowiązania i gotowość "" , by stać się głównym właścicielem Ruchu ."	1	test	1	1
PRON+VERB	się	12	upomnieć	13	się upomnieć	Pesymiści kraczą , że po wyjściu z więzienia o swoje pieniądze mogą się upomnieć gangsterzy z ośmiornicy .	1	test	1	1
VERB+PRON	starają	26	się	27	starają się	"Twór ten "" zmaterializowały "" umysły ludzi lubiących ją stosować , a także umysły osób , które się wobec niej buntują , walczą z nią , starają się przed nią uchronić ."	1	test	1	1
VERB+PRON	starał	8	się	9	starał się	Wójt Kopycki dodaje , że jak najszybciej będzie starał się zdobyć pieniądze na wywiezienie odpadów .	1	test	1	1
ADJ+NOUN	zapewniony	17	udział	18	zapewniony udział	Inna sprawa , czy goście będą w pełni umotywowani , skoro po zdobyciu Pucharu Polski mają już zapewniony udział w Pucharze Saporty .	1	test	1	0
VERB+NOUN	daje	12	zyski	13	daje zyski	Według badań amerykańskich , wartość jej zwielokrotnia się z upływem lat i daje zyski niemożliwe do osiągnięcia przy lokatach bankowych .	1	test	1	0
VERB+PRON	chwalą	24	się	25	chwalą się	Jako lekarzowi jest mi po prostu przykro - chociaż przyznaję , że również zdarza mi się czasami zapalić papierosa - że niektórzy senatorowie wręcz chwalą się wobec wszystkich , nas i swoich wyborców , tak potężną niewiedzą .	1	test	1	1
VERB+PRON	śmieją	20	się	21	śmieją się	- Lepiej szefa wysłać za granicę , bo jak jest w kraju , to potrafi wrócić znienacka z urlopu - śmieją się współpracownicy wicepremiera .	1	test	1	1
VERB+PRON	stara	8	się	9	stara się	Ze swej strony stacja krwiodawstwa na wszelkie sposoby stara się nakłonić do oddawania krwi , choćby tylko jednorazowego .	1	test	1	1
VERB+PRON	zwrócił	14	się	15	zwrócił się	Przedsiębiorca bowiem wystawił namiot , handlował w nim kilka dni , a dopiero potem zwrócił się do magistratu o zezwolenie .	1	test	1	1
VERB+PRON	dziwię	12	się	13	dziwię się	""" Co Brzozowski ma wspólnego z prof . Gierkiem ? "" - dziwię się ."	1	test	1	1
VERB+PRON	uda	7	się	8	uda się	Z powodu braku pieniędzy i słabej organizacji uda się wysłać najwyżej połowę tej liczby .	1	test	1	1
VERB+NOUN	ma	15	prawa	16	ma prawa	Ferenz drgnął jak przyłapany , nachylił się przez biurko i krzyknął : - Nikt nie ma prawa mnie oskarżać !	1	test	1	1
VERB+PRON	różnią	4	się	5	różnią się	Ceny książek szkolnych nie różnią się znacznie , konkurencja powoduje , że wydawcy nie mają zbyt dużych możliwości ani podnoszenia , ani obniżania cen .	1	test	1	1
VERB+NOUN	mieli	18	poparcie	19	mieli poparcie	Mogli by w nich uczestniczyć kandydaci Unii Wolności oraz Wałęsa i Olszewski , jeśli tylko zechcą i będą mieli poparcie 15 parlamentarzystów i 300 radnych .	1	test	1	0
VERB+PRON	udał	14	się	15	udał się	Czy nieprawdą jest , że przepędził Antoniego Chodorowskiego , gdy ten bezpośrednio po zdarzeniu udał się do niego po pomoc i interwencję , strasząc go przy tym użyciem policji , jeżeli nie opuści natychmiast budynku prokuratury ?	1	test	1	1
PRON+VERB	się	20	pobrać	21	się pobrać	Zebrałem Zebrał em się na odwagę i wypaliłem wypalił em : - Bo myśmy my śmy właśnie z Baśką postanowili się pobrać wkrótce i ja przyjechałem przyjechał em do Warszawy , bo pragniemy zamieszkać w stolicy , ja muszę ukończyć studia , a i Baśka by chciała dyplom zrobić .	1	test	1	0
PRON+VERB	się	1	okaże	2	się okaże	To się okaże niebawem .	1	test	1	1
ADJ+PRON	odnoszących	14	się	15	odnoszących się	Sądem specjalnym jest Odwoławczy Sąd Patentowy , który rozpatruje sprawy dotyczące decyzji Urzędu Patentowego odnoszących się do patentów , znaków towarowych i wzorów przemysłowych .	1	test	1	1
VERB+NOUN	wzięło	10	udział	11	wzięło udział	Z naszych ustaleń wynika , że w sprzedaży bydgoskiej działki wzięło udział kilkanaście osób , a sama transakcja była poważnym przestępczym przedsięwzięciem , w wyniku którego z PZU SA wyprowadzono dwa miliony złotych .	1	test	1	1
VERB+PRON	zdają	2	się	3	zdają się	Na nic zdają się apele międzynarodowych organizacji humanitarnych .	1	test	1	1
VERB+PRON	żachnął	1	się	2	żachnął się	Ojciec żachnął się .	1	test	1	1
VERB+NOUN	podpisać	6	umowę	7	podpisać umowę	Odprawiła nawet TVN , która chciała podpisać umowę na wyłączność w informowaniu o seksaferze .	1	test	1	1
VERB+PRON	domaga	3	się	4	domaga się	""" Ojczyzna "" domaga się od rządu wstrzymania prywatyzacji zakładu , zbadania wiarygodności inwestora oraz rozpoczęcia rozmów przez ministra skarbu państwa z rolnikami i związkiem "" Ojczyzna "" na temat prywatyzacji i pakietu plantatorskiego ."	1	test	1	1
VERB+PRON	wybiera	11	się	12	wybiera się	Niewielu z nich może sobie pozwolić na ucieczkę samolotem , większość wybiera się w drogę pieszo , zmierzając ku najbliższej granicy .	1	test	1	1
VERB+PRON	podpisało	4	się	5	podpisało się	Pod listem Stevena Spielberga podpisało się już ponad 50 członków Akademii Filmowej .	1	test	1	1
VERB+PRON	Przekonała	0	się	1	Przekonała się	Przekonała się o tym 15-letnia Paulina Serowik z Olsztyna ( na zdjęciu ) , którą okradziono w drodze z Zakopanego do domu .	1	test	1	1
VERB+NOUN	złożył	16	wniosek	17	złożył wniosek	Zarząd RTS Widzew podczas wczorajszego posiedzenia odwołał z funkcji prezesa RTS Widzew Andrzeja Pawelca i jednocześnie złożył wniosek do Walnego Zgromadzenia Akcjonariuszy i Rady Nadzorczej SPN Widzew SSA ( obradować będzie 17 stycznia ) o odwołanie go z funkcji prezesa spółki .	1	test	1	1
VERB+PRON	żalił	23	się	24	żalił się	Policja łapie , jak łapie , ale jak już kogoś zatrzyma , to prokurator stwierdza , że szkodliwość społeczna czynu była niska - żalił się niedawno szef MSWiA Marek Biernacki .	1	test	1	1
VERB+PRON	porusza	2	się	3	porusza się	Po mieście porusza się z ochroną osobistą .	1	test	1	1
NOUN+VERB	wniosek	1	złożyła	2	wniosek złożyła	Taki wniosek złożyła Komisja Rewizyjna .	1	test	1	1
VERB+PRON	znajdowało	6	się	7	znajdowało się	W budynkach Kompanii Węglowej i holdingu znajdowało się wczoraj 40 związkowców .	1	test	1	1
VERB+PRON	zdawało	30	się	31	zdawało się	- Wszędzie ! - szeptała tamta , leżąc pod jej ręką na poduszkach z oczami wciąż przymkniętymi ; wargi drżały kurczowo , twarz bladła jak chusta , a każde słowo zdawało się sprawiać mękę .	1	test	1	1
VERB+NOUN	wzbudzić	4	strach	5	wzbudzić strach	Zbyt szybkim , aby wzbudzić strach i zaskarbić sobie szacunek .	1	test	1	0
PRON+VERB	sobie	3	poradzę	4	sobie poradzę	- Na pewno sobie poradzę ! - tryskała optymizmem - ale muszę trochę wypocząć .	1	test	1	1
VERB+PRON	wdrapują	10	się	11	wdrapują się	A mianowicie , w wolnych chwilach wychodzą na balkony albo wdrapują się na dachy swoich kamienic i przyglądają się pracy burzycieli - strzałowych i tych , co młotkami rozbijają figury świętych , portale i attyki .	1	test	1	1
VERB+PRON	przyglądają	17	się	18	przyglądają się	A mianowicie , w wolnych chwilach wychodzą na balkony albo wdrapują się na dachy swoich kamienic i przyglądają się pracy burzycieli - strzałowych i tych , co młotkami rozbijają figury świętych , portale i attyki .	1	test	1	1
VERB+PRON	ukazał	9	się	10	ukazał się	"W jednym z pierwszych numerów tygodnika "" Solidarność "" ukazał się obszerny , na całą kolumnę , wywiad z Andrzejem Wajdą , który zwierzał się ze swoich natajniejszych kompleksów : że w czasie wojny nie zdążył do konspiracji , że później z jakichś tam powodów nie zdążył do Powstania Warszawskiego , że nie wziął też udziału w powojennym zmaganiu o kształt Polski niepodległej , ale teraz to wszystko odrobi , nadgoni ."	1	test	1	1
VERB+PRON	zwierzał	23	się	24	zwierzał się	"W jednym z pierwszych numerów tygodnika "" Solidarność "" ukazał się obszerny , na całą kolumnę , wywiad z Andrzejem Wajdą , który zwierzał się ze swoich natajniejszych kompleksów : że w czasie wojny nie zdążył do konspiracji , że później z jakichś tam powodów nie zdążył do Powstania Warszawskiego , że nie wziął też udziału w powojennym zmaganiu o kształt Polski niepodległej , ale teraz to wszystko odrobi , nadgoni ."	1	test	1	1
PRON+VERB	się	23	spodobać	24	się spodobać	Myślę , że każdy kraj , w którym znajdziemy gotowane mięsa i piękne ciasta i pieczywo takie , jak w Polsce , musi się spodobać .	1	test	1	1
VERB+NOUN	brał	5	udział	6	brał udział	Wiesław Walendziak z równą intensywnością brał udział w akcjach samokształceniowych , jak i bezpośrednich .	1	test	1	1
VERB+PRON	udało	22	się	23	udało się	Nie było nawet czasu na przenoszenie chorej do karetki - załoga pogotowia reanimowała leżącą pomiędzy nagrobkami pacjentkę przez pół godziny , zanim udało się przywrócić akcję serca	1	test	1	1
VERB+PRON	wybiera	2	się	3	wybiera się	Moja żona wybiera się do Tunezji , strzeżcie się , Tunezyjczycy .	1	test	1	1
ADJ+PRON	znajdujące	19	się	20	znajdujące się	Jak poinformował Cesar Fraga z Uniwersytetu w Buenos Aires , przeprowadzone tam badania wykazały , że czekolada wzmacnia antyutleniacze znajdujące się we krwi , zwiększając odporność na zaburzenia serca i naczyń wieńcowych .	1	test	1	0
ADJ+NOUN	pełniących	9	funkcje	10	pełniących funkcje	- Istnieje jakieś przyzwolenie polityczne dla wysokich wynagrodzeń osób pełniących funkcje publiczne , ale nie ma na to przyzwolenia społecznego - ostrzegał Roman Rutkowski z AWS .	1	test	1	0
VERB+PRON	nadarzyła	2	się	3	nadarzyła się	Kiedy tylko nadarzyła się okazja - uciekłem uciekł em stamtąd .	1	test	1	1
VERB+PRON	zdarzy	17	się	18	zdarzy się	Nie od dziś wiadomo , że losy naszej giełdy zależą w dużym stopniu od tego , co zdarzy się na Wall Street .	1	test	1	1
VERB+NOUN	zdobyła	1	sławę	2	zdobyła sławę	Espinoza zdobyła sławę , gdy została zaproszona do popularnego programu telewizyjnego .	1	test	1	1
NOUN+NOUN	sprawiania	1	wrażenia	2	sprawiania wrażenia	"Potrzeba sprawiania wrażenia na innych , "" aby być centrum zainteresowania "" , pożądania - przyciągać i interesować innych ( jako ktoś atrakcyjny , pociągający seksualnie ) ."	1	test	1	0
VERB+PRON	zastanawia	3	się	4	zastanawia się	Widać , że zastanawia się , co robić dalej .	1	test	1	1
PRON+VERB	się	2	pożegnać	3	się pożegnać	Musieli śmy się pożegnać .	1	test	1	0
